acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
0.04,-1.88,9.73,-0.96,9.71,-0.19,9.79,-0.01,0.00,1.56,2.57
0.00,-1.20,9.67,-0.13,9.89,0.28,9.67,-0.02,-1.25,1.56,0.14
-0.03,-0.32,10.40,-0.33,9.74,-0.61,10.15,-0.08,-4.39,1.04,-1.46
0.16,0.24,9.85,-0.50,9.84,0.79,10.28,-0.25,3.13,0.78,8.95
-0.12,-0.70,9.72,-0.84,9.63,-2.06,9.66,-0.16,2.51,0.00,-6.70
0.03,-0.52,9.84,0.16,9.86,0.70,9.84,0.01,-1.25,1.04,1.69
0.18,0.48,9.82,-0.31,9.70,1.23,10.11,-0.03,-1.25,1.04,10.49
0.01,-0.62,10.28,-0.20,9.88,0.01,10.07,-0.03,2.51,1.30,0.33
0.13,-0.33,10.03,-0.88,9.79,0.15,10.07,-0.09,0.63,1.30,7.29
-0.01,-0.20,9.69,-0.33,9.66,-0.51,9.34,-0.15,-0.63,1.30,-0.84
0.01,-0.52,10.17,-0.21,9.78,-0.02,9.43,-0.19,-5.01,1.30,0.50
0.15,-0.05,9.92,-1.09,9.85,-0.01,11.07,-0.16,1.88,1.30,8.51
-0.08,-0.68,10.28,0.06,10.19,-0.51,9.71,-0.22,0.63,1.56,-4.86
0.06,-0.47,9.46,-0.31,9.77,0.35,9.87,-0.23,1.88,1.82,3.50
-0.10,-0.32,9.62,-0.85,8.52,-2.40,10.09,-0.37,-1.88,1.56,-5.99
-0.11,-0.25,10.10,0.21,9.65,-0.69,9.71,-0.59,-1.88,1.30,-6.36
0.27,-0.90,9.34,-1.07,10.11,1.68,10.56,-0.10,-1.88,0.78,15.29
0.12,0.25,9.70,-0.66,9.65,0.15,10.22,-0.56,1.25,0.26,6.79
-0.13,-0.33,9.84,-0.46,9.58,-1.77,9.52,-0.33,-0.00,0.78,-7.47
0.12,-0.48,10.10,-0.13,10.19,1.17,9.80,-0.07,5.64,1.30,6.78
-0.08,-0.32,9.43,-1.00,9.56,-1.98,9.43,-0.23,-3.76,2.60,-4.43
-0.05,-0.86,10.87,0.83,9.77,1.13,11.40,-0.56,-12.54,2.34,-3.11
0.29,0.05,11.04,-1.55,10.34,0.84,9.93,-0.97,-6.27,1.56,16.86
-0.13,-0.69,10.72,-1.30,9.91,-3.16,10.61,-1.03,1.88,0.26,-7.55
0.03,0.31,9.75,-1.63,9.87,-2.25,10.74,0.04,12.54,-0.52,1.48
0.01,-1.97,9.95,-1.24,10.19,-0.83,9.71,-0.08,8.78,-0.52,0.50
-0.12,-0.44,9.88,0.69,10.00,-0.07,10.11,0.03,-3.13,-1.30,-6.75
-0.29,-0.06,10.07,-0.56,9.65,-3.89,10.09,-0.44,3.76,-2.34,-16.55
-0.01,-0.10,10.29,-1.14,10.04,-1.60,9.58,0.57,10.03,-2.86,-0.75
