acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
0.61,-6.13,7.95,-5.83,7.96,-0.11,9.91,0.01,1.25,34.84,35.02
3.04,-0.30,9.84,-0.25,0.61,-0.19,9.83,-0.01,-0.63,1.04,174.20
-2.98,-0.95,9.75,-0.25,0.61,1.61,9.92,-0.01,0.00,0.78,-170.61
2.78,-0.21,9.66,-0.25,0.61,-2.64,9.61,0.01,2.51,0.52,159.18
3.05,-0.21,9.66,-0.25,0.61,0.01,9.87,-0.01,-1.88,0.52,174.59
3.01,-0.28,9.69,-0.25,0.61,-0.47,9.87,0.01,0.63,0.52,172.32
3.10,-0.25,9.69,-0.25,0.61,0.50,9.96,0.01,0.00,0.78,177.69
3.01,-0.28,9.73,-0.25,0.61,-0.45,9.63,-0.01,-1.25,0.78,172.46
3.06,-0.28,9.73,-0.25,0.61,0.05,9.71,0.02,1.25,1.04,175.40
2.95,-0.28,9.77,-0.25,0.61,-1.06,9.98,0.00,-0.63,1.30,169.09
-3.06,-0.32,9.77,-0.25,0.61,1.70,10.21,-0.01,0.00,1.30,-175.10
-2.72,-1.12,9.71,-0.25,0.61,4.38,10.59,0.00,0.00,1.82,-156.01
-2.97,-0.70,9.46,-0.25,0.61,2.10,10.16,-0.06,-3.13,1.82,-170.09
3.13,-0.52,10.29,-0.25,0.61,0.46,11.03,-0.24,-6.90,1.56,179.53
-2.92,-0.52,10.58,-0.25,0.61,2.72,9.92,-0.26,-6.90,1.56,-167.47
-2.95,-0.58,8.98,-0.25,0.61,2.31,9.41,-0.25,-4.39,1.82,-169.10
-3.03,-0.78,9.23,-0.25,0.61,1.40,10.32,0.23,-0.63,1.82,-173.44
-2.91,0.37,10.04,-0.25,0.61,4.28,10.21,-0.46,-4.39,1.56,-166.65
2.98,-0.48,9.99,-0.25,0.61,-1.13,10.55,-0.51,-1.88,1.82,170.59
2.75,0.05,9.44,-0.25,0.61,-2.40,9.03,-0.48,-3.76,2.34,157.37
-3.09,-0.47,8.53,-0.25,0.61,1.44,11.28,-0.70,-5.64,2.34,-176.83
2.95,0.70,9.42,-0.25,0.61,0.36,10.39,-1.00,-6.90,1.30,169.22
2.89,0.46,11.54,-0.25,0.61,-1.00,9.55,-0.99,3.13,1.04,165.55
-3.11,-0.88,9.45,-0.25,0.61,0.41,9.98,-0.22,3.13,1.56,-177.99
2.47,0.59,9.30,-0.25,0.61,-4.44,9.00,-0.72,5.64,2.60,141.66
3.04,-0.62,10.65,-0.25,0.61,-0.65,9.50,-0.87,-5.64,2.86,174.07
3.06,0.10,9.59,-0.25,0.61,0.50,9.31,-1.12,-1.25,3.90,175.16
-2.81,-0.46,7.90,-0.25,0.61,2.88,6.54,-1.08,-10.03,3.38,-160.86
-2.31,-0.21,11.00,-0.25,0.61,14.51,11.16,-2.22,-8.78,2.34,-132.22
2.97,-0.62,9.05,-0.25,0.61,-1.33,10.70,-1.95,5.01,1.56,170.43
2.75,0.38,9.07,-0.25,0.61,-1.93,9.32,-1.10,6.27,1.04,157.53
-2.63,-0.46,9.69,-0.25,0.61,6.57,10.13,-1.16,6.90,0.78,-150.58
-2.87,-2.99,9.33,-0.25,0.61,-0.15,9.95,-0.70,3.13,1.30,-164.61
2.67,-0.89,9.68,-0.25,0.61,-4.88,9.64,-0.53,-0.63,1.82,152.93
-2.65,-1.80,9.84,-0.25,0.61,3.54,8.98,-0.10,-4.39,1.56,-151.93
-2.97,-0.21,10.44,-0.25,0.61,3.08,11.68,-0.81,-2.51,0.52,-170.19
2.84,0.21,10.19,-0.25,0.61,-1.69,10.62,-0.46,8.78,-0.26,162.87
-3.01,-2.73,10.01,-0.25,0.61,-1.04,10.63,-0.14,6.27,0.26,-172.51
2.80,-0.13,9.96,-0.25,0.61,-2.23,9.11,0.03,0.00,0.26,160.33
2.98,-0.25,9.81,-0.25,0.61,-0.73,9.79,-0.00,0.63,0.52,170.65
3.09,-0.32,9.73,-0.25,0.61,0.32,9.84,-0.01,0.00,0.52,177.28
3.10,-0.29,9.84,-0.25,0.61,0.46,9.84,0.01,0.00,0.78,177.90
3.10,-0.21,9.77,-0.25,0.61,0.57,10.19,-0.01,0.00,1.04,177.80
2.91,-0.28,9.73,-0.25,0.61,-1.39,9.62,-0.02,-1.25,1.04,166.92
2.97,-0.25,9.77,-0.25,0.61,-0.82,9.83,0.00,-1.88,1.04,170.09
2.95,-0.25,9.81,-0.25,0.61,-0.97,9.83,0.01,0.00,2.08,169.24
-2.93,-0.52,8.38,-0.25,0.61,3.13,11.00,-0.14,-6.27,1.30,-167.92
-3.13,-0.48,10.14,-0.25,0.61,0.70,11.04,-0.36,1.25,-0.26,-179.60
3.02,-0.06,9.92,-0.25,0.61,-0.12,9.87,0.02,4.39,-0.78,172.90
3.10,-0.59,9.83,-0.25,0.61,0.07,9.84,0.09,2.51,-1.30,177.90
2.98,-0.24,9.81,-0.25,0.61,-0.72,9.78,0.01,1.88,-2.34,170.68
2.46,1.46,9.36,-0.25,0.61,-3.67,9.69,0.23,9.40,-2.60,140.76
2.36,0.22,9.81,-0.25,0.61,-7.10,9.79,0.66,9.40,-2.60,135.47
-3.11,-0.13,9.51,-0.25,0.61,1.34,9.84,0.94,3.76,-0.78,-178.46
2.94,-0.48,8.87,-0.25,0.61,-1.19,8.82,0.30,-6.27,-0.26,168.56
-2.95,-0.78,9.79,-0.25,0.61,2.19,10.05,0.43,-13.79,-0.52,-168.79
-2.98,-2.49,9.75,-0.25,0.61,-0.48,10.07,0.11,-0.63,-2.60,-170.95
2.91,-0.13,9.21,-0.25,0.61,-1.24,10.82,0.27,11.28,-4.68,166.93
2.22,0.18,8.62,-0.25,0.61,-8.51,9.06,1.01,18.81,-5.20,127.00
2.52,1.14,10.50,-0.25,0.61,-4.63,11.61,1.49,nan,-4.42,144.21
2.66,-0.55,9.91,-0.25,0.61,-5.63,12.22,2.66,-1.25,-3.12,152.51
2.95,-1.07,10.16,-0.25,0.61,-1.93,9.08,2.07,-14.42,0.26,169.10
-2.67,-1.50,8.73,-0.25,0.61,4.47,11.14,1.85,-21.31,1.30,-153.04
-3.07,0.22,9.63,-0.25,0.61,2.32,9.97,0.48,-24.45,-1.82,-175.69
2.73,-0.03,9.59,-0.25,0.61,-3.10,10.26,0.16,5.64,-4.16,156.28
2.67,0.31,10.08,-0.25,0.61,-3.78,11.57,0.73,15.67,-6.50,152.94
2.18,2.95,8.83,-0.25,0.61,-5.20,11.23,2.19,85.25,-5.98,124.75
-3.12,-0.60,11.89,-0.25,0.61,0.74,14.38,2.76,19.43,-3.12,-178.99
2.68,-1.56,10.71,-0.25,0.61,-7.68,12.81,2.64,-59.55,0.00,153.40
-2.58,0.58,9.15,-0.25,0.61,8.32,8.56,1.83,-35.73,1.30,-148.09
-2.89,0.82,9.16,-0.25,0.61,5.27,9.71,0.64,-25.07,-0.78,-165.64
2.89,-0.43,9.69,-0.25,0.61,-1.83,9.98,0.04,1.25,-3.90,165.81
2.44,1.70,11.23,-0.25,0.61,-4.06,9.07,0.66,14.42,-5.98,139.61
2.74,-0.26,8.31,-0.25,0.61,-2.25,7.54,1.25,32.60,-4.42,157.15
2.15,0.38,12.21,-0.25,0.61,-14.13,12.18,2.69,2.51,-0.78,123.31
-2.81,1.13,11.56,-0.25,0.61,6.23,10.23,1.62,-18.18,1.82,-161.11
-2.88,0.52,9.37,-0.25,0.61,5.26,10.66,0.73,-32.60,1.30,-165.22
2.22,1.69,10.33,-0.25,0.61,-7.40,10.66,-0.09,-6.90,-0.52,127.32
-3.03,-0.51,9.84,-0.25,0.61,1.67,10.24,0.02,0.63,-1.56,-173.84
2.95,0.60,9.49,-0.25,0.61,0.11,9.03,0.06,1.88,-2.08,168.86
2.90,0.48,9.86,-0.25,0.61,-0.58,9.31,0.28,0.63,-2.08,166.01
2.90,0.54,10.31,-0.25,0.61,-0.61,9.67,0.45,3.76,-1.56,166.10
2.70,1.25,9.43,-0.25,0.61,-1.48,9.67,0.45,0.00,-1.04,154.49
-3.01,-0.35,9.58,-0.25,0.61,1.96,9.12,0.31,-6.90,-0.52,-172.27
2.95,0.05,10.93,-0.25,0.61,-0.88,10.43,0.15,-3.13,-0.52,168.80
3.02,-0.29,10.10,-0.25,0.61,-0.42,9.87,0.01,0.00,-1.30,172.96
3.11,-0.36,9.95,-0.25,0.61,0.40,9.71,0.06,-1.25,-2.08,178.20
-2.92,-0.33,10.18,-0.25,0.61,3.59,11.74,0.18,1.88,-2.60,-167.31
3.11,0.24,9.67,-0.25,0.61,1.26,10.49,0.00,13.16,-2.60,177.95
-3.00,-0.48,9.95,-0.25,0.61,2.22,10.87,0.93,9.40,-1.82,-171.72
-2.60,0.07,10.00,-0.25,0.61,7.18,9.04,1.04,0.00,-0.78,-148.88
2.60,-0.48,10.36,-0.25,0.61,-5.57,10.62,0.85,-1.88,-1.04,149.20
3.00,-0.09,9.77,-0.25,0.61,-0.36,9.96,0.61,-3.13,-1.82,171.62
-2.62,-0.05,8.99,-0.25,0.61,8.14,10.79,0.13,6.27,-2.86,-150.33
2.21,4.30,9.46,-0.25,0.61,-2.93,9.13,0.99,8.78,-2.86,126.38
2.41,1.01,12.78,-0.25,0.61,-6.91,11.29,1.22,-1.88,-1.04,138.17
2.97,1.46,10.33,-0.25,0.61,1.14,9.96,1.20,-3.76,0.26,170.14
-3.01,-0.43,9.84,-0.25,0.61,2.11,10.40,0.04,-13.16,1.30,-172.24
2.70,0.43,10.01,-0.25,0.61,-2.77,9.85,0.03,-11.28,1.04,154.42
2.88,-0.17,10.03,-0.25,0.61,-1.67,9.78,-0.06,3.13,0.78,164.82
3.01,-0.32,9.69,-0.25,0.61,-0.49,9.27,0.00,0.63,1.04,172.34
3.08,-0.43,9.69,-0.25,0.61,0.07,10.35,0.00,0.00,1.30,176.62
3.08,-0.13,9.70,-0.25,0.61,0.47,9.99,-0.01,-1.88,1.82,176.64
3.06,-0.31,9.39,-0.25,0.61,0.05,9.47,-0.16,-0.63,2.08,175.42
3.01,-0.36,8.72,-0.25,0.61,-0.40,9.07,0.22,-2.51,1.56,172.46
2.98,-0.66,9.65,-0.25,0.61,-1.38,10.59,-0.58,-6.27,1.30,170.57
2.86,0.44,9.75,-0.25,0.61,-0.97,9.07,-0.55,0.63,1.30,163.62
2.94,-0.43,9.73,-0.25,0.61,-1.33,9.90,-0.48,2.51,1.30,168.61
2.94,-0.32,9.02,-0.25,0.61,-1.19,10.38,-0.42,7.52,1.56,168.36
3.09,-0.20,9.25,-0.25,0.61,0.49,9.32,-0.38,-5.01,2.60,177.10
-2.97,-1.12,9.49,-0.25,0.61,1.40,9.80,-0.38,-1.88,2.60,-170.30
2.90,0.04,8.91,-0.25,0.61,-1.01,9.76,-0.80,-9.40,3.64,165.93
3.13,-0.53,9.16,-0.25,0.61,0.42,10.00,-0.70,-15.67,3.38,179.12
-3.09,-0.11,10.11,-0.25,0.61,1.66,10.77,-1.88,-8.78,2.60,-177.12
2.83,0.39,9.97,-0.25,0.61,-1.57,11.02,-1.92,0.00,1.04,162.26
2.80,0.30,9.60,-0.25,0.61,-2.04,11.65,-1.02,9.40,0.78,160.65
2.98,-0.05,9.88,-0.25,0.61,-0.50,10.67,-0.91,10.66,2.60,170.86
2.76,-0.77,10.50,-0.25,0.61,-3.67,9.80,-0.70,-5.01,4.94,158.37
-2.87,-0.29,11.19,-0.25,0.61,3.74,10.66,-1.35,-13.79,4.68,-164.69
-3.10,-1.04,12.55,-0.25,0.61,0.41,14.40,-1.84,-24.45,5.72,-177.73
-2.64,-0.56,10.02,-0.25,0.61,5.96,9.75,-3.05,-11.91,4.68,-151.27
-2.47,-0.47,11.56,-0.25,0.61,7.63,8.70,-3.69,-57.67,2.86,-141.53
3.06,0.61,9.01,-0.25,0.61,1.36,9.79,-2.81,5.64,1.56,175.14
2.87,1.03,11.10,-0.25,0.61,-0.63,11.76,-1.83,67.70,2.86,164.51
3.02,-0.40,10.59,-0.25,0.61,-0.59,9.75,-2.07,-57.67,5.20,172.96
2.60,-0.70,6.74,-0.25,0.61,-8.90,16.61,-2.16,40.75,5.46,148.96
-2.08,-3.19,9.14,-0.25,0.61,11.64,12.52,-3.50,-72.09,5.20,-118.93
2.05,0.61,9.60,-0.25,0.61,-14.35,11.71,-3.31,-3.13,1.56,117.42
2.49,-3.62,10.85,-0.25,0.61,-13.07,9.27,-2.43,30.72,-1.30,142.70
2.88,-0.63,9.61,-0.25,0.61,-2.34,10.31,-0.62,43.25,-2.34,164.98
