acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
5.74,7.89,5.89,7.94,-0.15,9.79,0.01,0.00,-37.96,-37.61,-0.86
5.74,7.89,5.89,7.94,-0.15,9.79,0.01,0.00,-37.96,-37.61,-0.86
5.44,7.51,5.56,7.52,-0.14,9.39,-0.01,0.00,-37.70,-37.57,-0.87
5.78,7.93,5.83,7.94,-0.15,9.95,0.01,0.63,-37.96,-37.21,-4.47
5.82,7.89,5.90,7.91,-0.15,9.91,-0.01,-1.25,-37.96,-37.69,6.37
5.82,7.89,5.90,7.91,-0.15,9.83,0.00,0.00,-37.96,-37.71,-0.87
5.78,7.89,5.85,7.94,-0.11,9.87,0.01,1.88,-37.96,-37.09,-11.40
5.82,7.89,5.86,7.94,-0.19,9.91,-0.01,-1.88,-37.70,-37.51,9.69
5.74,7.93,5.90,7.94,-0.19,9.95,0.00,0.63,-37.70,-37.92,-4.68
5.74,7.85,5.85,7.94,-0.15,9.91,-0.01,-1.88,-37.96,-37.34,9.90
5.82,7.93,5.86,7.90,-0.11,9.91,-0.01,-1.25,-37.96,-37.30,6.57
5.78,7.89,5.85,7.90,-0.19,9.83,0.01,0.63,-37.96,-37.73,-4.74
5.78,7.89,5.86,7.98,-0.19,9.87,-0.01,0.63,-37.96,-37.42,-4.74
5.82,7.89,5.86,7.94,-0.23,9.91,0.01,0.00,-37.96,-37.74,-1.32
5.74,7.85,5.86,7.90,-0.15,9.87,-0.01,0.00,-37.96,-37.56,-0.88
5.78,7.93,5.91,7.94,-0.15,9.91,0.01,0.00,-37.96,-37.72,-0.87
5.78,7.89,5.87,7.90,-0.19,9.83,0.00,0.00,-37.96,-37.84,-1.10
5.78,7.93,5.86,7.94,-0.15,9.91,-0.01,-1.88,-37.96,-37.40,9.91
5.74,7.89,5.86,7.94,-0.19,9.91,0.02,3.13,-37.70,-37.63,-18.52
5.78,7.93,5.86,7.94,-0.15,9.87,-0.01,-0.63,-37.96,-37.44,2.77
5.78,7.89,5.90,7.91,-0.19,9.87,-0.01,-1.25,-38.22,-38.03,6.17
5.78,7.93,5.90,7.91,-0.15,9.87,0.00,0.63,-37.96,-37.82,-4.49
5.78,7.89,5.90,7.94,-0.15,9.91,0.00,-1.25,-37.70,-37.63,6.36
5.74,7.89,5.86,7.94,-0.19,9.87,-0.01,0.00,-37.70,-37.64,-1.09
5.78,7.89,5.82,7.94,-0.15,9.87,0.01,0.63,-37.96,-37.11,-4.49
