acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
6.39,8.20,6.00,8.14,-0.29,10.03,0.07,1.88,-37.70,-37.48,-12.23
4.91,7.76,5.18,7.73,-0.58,9.39,0.08,1.25,-37.96,-37.92,-11.06
1.62,7.69,3.46,8.66,-1.62,9.38,0.36,5.01,-37.70,-34.44,-35.26
4.24,7.48,5.74,10.49,0.27,10.61,0.70,14.42,-37.70,-27.05,-53.15
2.84,7.82,3.00,11.22,-18.06,10.74,1.91,11.28,-37.70,-73.02,-69.89
2.14,9.11,3.55,8.28,-4.90,12.10,1.65,-53.91,-37.96,-49.11,76.13
4.33,7.52,4.21,10.41,13.23,12.02,2.94,0.63,-37.70,27.84,46.36
8.44,6.83,6.73,4.68,-1.62,9.96,2.44,-3.13,-37.96,-66.73,8.66
8.22,7.34,6.56,7.51,-10.81,11.41,2.81,-2.51,-37.96,-81.61,-36.04
4.55,7.63,6.62,7.43,-19.99,9.67,2.48,49.52,-37.70,-109.32,-82.08
6.15,6.41,6.78,5.95,8.21,6.93,2.14,-3.13,-37.96,-0.69,58.59
7.47,8.07,7.43,7.83,-8.21,8.27,1.14,-8.78,-37.96,-88.54,3.90
7.88,7.67,6.80,7.99,-19.46,10.57,1.39,-7.52,-37.96,-99.78,-48.48
5.52,6.73,6.43,7.30,2.59,10.53,1.07,-5.01,-37.96,-28.18,35.83
4.96,6.15,7.79,6.65,2.83,10.69,0.13,-63.31,-37.96,-37.45,80.82
5.31,6.28,6.79,6.68,2.03,10.24,0.34,45.76,-37.70,-35.83,-76.82
5.57,7.25,6.07,7.21,0.50,10.31,-0.03,-1.88,-37.96,-38.26,13.02
6.26,7.64,6.85,6.90,0.96,10.60,-0.19,-1.88,-37.70,-41.72,15.00
6.99,6.95,8.01,6.44,3.01,10.14,-0.03,-11.91,-37.96,-36.71,55.81
7.49,5.51,10.33,6.15,7.99,6.90,-1.47,-20.06,-38.22,-11.48,76.19
7.42,7.52,10.04,3.31,14.24,15.06,-2.11,-15.04,-37.70,-37.57,62.78
6.88,6.65,6.92,8.25,-2.95,7.36,-2.24,-13.79,-37.96,-59.99,55.80
4.25,8.12,6.81,6.91,10.44,15.90,-3.38,-8.78,-37.70,-16.96,50.39
4.77,7.07,6.24,7.80,7.54,17.80,-2.65,6.27,-37.70,-17.06,4.09
7.54,6.28,6.17,7.14,6.10,7.11,-2.81,-3.13,-37.70,3.44,52.40
4.62,12.05,2.20,9.64,-1.07,16.83,-3.08,3.76,-37.70,-12.13,-16.03
2.75,9.13,6.10,8.89,-6.18,10.89,-2.06,1.25,-37.70,-69.39,-34.31
3.04,5.14,4.01,9.41,0.51,13.92,-2.33,9.40,-37.70,-19.62,-32.59
5.70,8.38,3.40,8.36,8.46,12.64,-1.36,9.40,-37.70,16.83,-4.29
6.34,8.24,3.94,9.22,1.30,13.61,-1.69,5.64,-37.70,-12.15,-17.68
4.87,7.31,5.63,8.42,-7.86,9.63,-1.27,2.51,-37.96,-73.03,-47.11
3.61,8.66,4.89,8.17,-0.71,9.63,-0.34,8.15,-37.70,-38.12,-42.61
4.13,8.53,4.61,8.76,-1.44,9.74,-0.65,3.13,-37.70,-36.85,-25.14
1.89,9.11,5.10,9.10,-1.44,10.83,-0.03,13.79,-37.70,-42.26,-54.60
4.86,8.95,4.03,8.72,-1.05,9.67,0.46,5.01,-37.96,-29.51,-32.12
5.03,9.32,4.96,9.99,-16.15,5.51,0.51,13.79,-37.70,-96.87,-79.56
3.92,8.97,4.79,8.57,0.38,11.03,1.50,5.01,-37.96,-29.28,-22.80
8.13,7.87,5.45,8.12,0.24,11.55,1.81,7.52,-37.70,-27.30,-32.22
8.32,7.13,6.86,8.08,5.22,12.18,1.18,-1.88,-37.70,-13.67,30.26
