acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
-6.58,7.35,-6.62,7.33,-0.15,9.87,-0.01,0.63,41.86,41.57,-4.51
-6.58,7.35,-6.63,7.29,-0.19,9.87,-0.01,-0.63,41.60,41.34,2.54
-6.28,7.02,-6.32,7.01,-0.15,9.43,-0.01,-1.88,41.86,41.24,10.41
-6.59,7.31,-6.66,7.36,-0.19,9.91,-0.01,-1.25,41.86,41.08,6.13
-6.62,7.35,-6.62,7.33,-0.19,9.95,0.01,0.63,41.60,41.07,-4.68
-6.58,7.35,-6.66,7.36,-0.19,9.87,-0.01,-1.25,41.86,41.17,6.17
-6.58,7.31,-6.71,7.32,-0.19,9.87,0.00,1.25,41.86,41.56,-8.32
-6.58,7.35,-6.63,7.33,-0.19,9.87,0.00,0.00,41.86,41.15,-1.10
-6.58,7.35,-6.60,7.33,-0.15,9.83,-0.01,-1.88,41.86,41.18,10.00
-6.62,7.35,-6.63,7.36,-0.19,9.87,-0.00,1.25,41.86,40.89,-8.32
-6.62,7.35,-6.66,7.32,-0.15,9.87,0.01,1.25,41.60,41.51,-8.10
-6.55,7.35,-6.66,7.32,-0.19,9.99,-0.01,0.00,41.86,41.42,-1.09
-6.62,7.35,-6.59,7.36,-0.19,9.91,0.00,-0.63,41.60,40.66,2.53
-6.62,7.35,-6.66,7.32,-0.19,9.95,0.01,1.88,41.60,41.26,-11.75
-6.62,7.35,-6.62,7.29,-0.11,9.87,0.00,-1.25,41.60,41.69,6.59
-6.47,7.50,-6.82,7.47,-0.16,10.15,-0.01,0.63,41.86,42.09,-4.41
-6.78,7.27,-6.86,7.21,-0.38,9.91,-0.01,-1.88,41.60,41.60,8.60
-6.86,7.19,-6.82,7.17,-0.45,9.87,0.01,1.88,41.86,40.94,-13.28
-6.05,7.25,-6.74,7.21,-0.27,9.83,0.04,1.25,41.60,42.59,-8.82
-8.21,5.93,-7.57,6.73,-1.87,10.06,0.19,5.01,41.60,35.72,-34.37
-9.33,6.69,-7.47,6.80,-0.27,10.31,-0.12,-50.15,41.86,43.26,78.32
-9.06,6.92,-8.59,6.62,-1.80,9.06,0.92,67.07,41.86,41.00,-82.51
-8.20,6.30,-8.87,6.05,-2.10,10.14,1.30,4.39,41.60,45.14,-32.60
-8.45,7.49,-10.48,6.92,0.86,9.13,1.83,10.03,41.86,64.55,-45.10
-4.66,7.91,-8.11,7.34,19.08,18.98,1.73,5.64,41.60,97.96,35.30
-3.02,8.02,-7.55,7.90,17.29,9.46,2.35,1.88,41.60,110.96,58.47
-2.87,7.32,-4.36,4.50,-14.03,16.93,1.82,4.39,41.86,15.29,-47.41
-4.80,9.40,-6.09,8.48,-8.72,7.59,2.35,4.39,41.60,-10.10,-59.95
-5.34,6.25,-5.77,8.52,-6.91,8.13,1.79,-3.13,41.60,-8.01,-24.94
-7.20,6.92,-5.42,8.62,-1.09,9.51,2.14,-3.76,41.60,20.71,15.71
-6.20,7.58,-5.40,8.38,-6.76,11.49,1.35,-4.39,41.60,0.01,-11.68
-6.85,10.81,-5.63,8.05,8.58,11.01,1.55,-10.03,41.60,74.38,59.40
-8.20,8.10,-7.16,8.80,-2.15,9.97,1.21,-9.40,41.60,24.60,36.02
-6.58,8.43,-5.23,9.07,1.90,10.52,0.29,-2.51,41.86,37.17,22.75
-4.11,7.89,-4.82,7.99,0.44,9.91,0.55,-5.64,41.60,34.89,31.52
-4.08,7.89,-5.08,7.91,0.61,9.60,0.21,-11.28,41.60,38.20,51.10
-6.81,7.12,-7.08,7.13,-0.90,9.39,-0.05,-1.25,41.86,39.71,2.15
-6.82,7.49,-6.39,7.52,0.00,9.83,-0.02,3.13,41.60,39.63,-17.66
-6.28,7.54,-6.35,7.48,0.16,9.91,-0.01,0.00,41.60,41.38,0.91
-6.93,7.97,-6.24,7.97,0.93,10.00,-0.03,-0.63,41.60,42.19,8.87
-5.47,8.98,-4.94,7.70,3.19,11.40,-0.08,-5.01,41.60,48.93,35.76
-4.67,10.64,-4.23,10.39,19.31,13.55,-0.60,31.34,41.86,76.53,-41.61
-4.06,8.90,-7.45,8.83,0.02,8.07,-2.13,-75.22,41.60,44.81,83.88
-8.22,8.80,-9.34,5.86,-7.34,9.12,-2.19,46.39,41.60,25.12,-80.37
-8.07,7.50,-7.02,6.68,14.30,13.70,-3.10,-60.18,41.60,92.37,79.58
-3.59,5.09,-5.04,6.86,7.31,10.57,-2.84,-2.51,41.60,71.26,42.89
-3.00,4.55,-7.61,0.91,-20.53,12.09,-3.18,6.27,41.60,33.18,-65.72
-6.24,5.60,-10.34,6.37,3.07,11.00,-2.27,3.76,41.60,76.28,-3.61
-11.48,6.31,-8.97,6.97,-6.74,10.03,-2.46,10.03,41.86,14.17,-59.11
-8.69,6.70,-9.98,5.35,-4.00,11.84,-2.14,-49.52,41.86,46.45,75.42
-14.21,5.90,-9.06,5.45,3.44,9.90,-1.73,8.78,41.86,72.72,-28.32
-7.47,6.88,-8.18,6.64,-0.16,10.07,-0.81,9.40,41.60,51.32,-43.51
-7.35,6.77,-7.57,7.17,1.94,10.09,-1.13,3.76,41.86,57.14,-10.23
-5.01,6.08,-8.32,7.60,-1.33,10.10,-0.71,2.51,41.86,41.94,-20.81
-8.16,5.63,-7.74,7.17,-0.13,8.91,-0.26,3.13,41.60,43.57,-20.11
-7.07,7.56,-6.12,7.83,0.42,9.83,0.05,6.90,41.60,38.47,-33.35
-8.14,6.94,-7.19,7.04,-0.27,9.95,0.02,0.00,41.60,42.47,-1.55
-7.96,7.32,-6.82,7.39,-0.07,9.87,-0.01,-1.25,41.60,40.37,6.85
-7.81,7.06,-6.83,7.02,-0.51,9.79,0.01,0.00,41.86,39.74,-2.96
-6.75,5.74,-8.22,5.70,-3.15,9.78,0.21,8.15,41.60,39.15,-49.13
-5.18,5.84,-8.31,5.30,-2.31,11.70,0.60,8.78,41.60,50.57,-43.45
-6.60,3.76,-8.21,4.95,-3.97,10.14,1.53,15.67,41.86,37.21,-62.68
-6.51,7.16,-9.89,6.55,-5.85,11.32,1.55,9.40,41.60,33.10,-53.42
-8.32,5.59,-2.58,6.59,-4.96,9.12,2.47,9.40,41.60,-24.87,-57.59
-7.92,5.64,-1.45,5.03,-19.37,-1.67,2.85,58.92,41.86,-106.17,-91.23
-6.06,8.14,-6.98,9.90,8.31,11.54,2.16,3.76,41.86,70.51,21.53
-2.78,9.11,-7.90,10.74,16.43,11.49,2.27,-0.63,41.60,95.84,56.03
