acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
0.74,-6.65,7.23,-6.78,7.17,-0.23,9.75,-0.01,-0.63,42.12,42.33
0.74,-6.65,7.23,-6.78,7.17,-0.23,9.75,-0.01,-0.63,42.12,42.33
0.01,-0.32,9.77,-0.27,9.85,-0.15,9.79,0.01,0.63,0.00,0.58
0.01,-0.29,9.84,-0.27,9.81,-0.15,9.83,0.01,-0.63,0.00,0.69
0.01,-0.29,9.80,-0.27,9.81,-0.19,9.95,-0.01,0.00,0.00,0.46
0.01,-0.21,9.81,-0.27,9.81,-0.15,9.91,0.01,0.63,0.00,0.84
0.01,-0.28,9.80,-0.27,9.85,-0.15,9.87,-0.01,-0.63,0.00,0.67
-0.02,0.86,9.91,0.27,9.87,-0.19,9.87,0.00,0.00,0.00,-1.36
0.02,-0.29,9.84,-0.34,9.81,-0.19,9.91,0.00,0.00,0.26,1.03
0.00,-0.40,9.80,-0.35,9.81,-0.32,9.91,0.01,0.63,1.30,0.10
0.08,-0.46,9.39,-0.06,9.52,0.86,9.83,-0.03,-1.88,1.56,4.43
0.37,-3.97,9.38,-1.65,9.31,2.86,9.62,-0.01,1.88,2.08,21.40
-0.10,-0.28,9.54,-0.04,9.86,-0.92,9.31,-0.04,-2.51,1.82,-5.93
0.01,-0.09,9.77,0.22,10.01,0.41,10.03,-0.25,-5.01,1.30,0.42
0.19,0.10,9.37,-1.57,9.65,-0.32,10.55,-0.26,-2.51,0.78,10.88
-0.11,-0.51,9.76,-0.59,10.13,-1.77,10.30,-0.22,2.51,0.52,-6.25
0.02,-0.32,9.69,0.28,9.83,0.74,9.96,-0.01,1.88,0.78,1.36
-0.02,-0.40,9.69,-0.62,9.69,-0.95,10.06,-0.01,-0.63,0.78,-1.26
0.07,-0.36,9.77,-0.27,9.74,0.48,10.11,0.00,0.63,1.04,4.15
-0.17,-0.32,9.77,-0.48,9.92,-2.22,9.85,-0.01,-1.25,1.04,-9.64
