acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
5.7478,7.89,5.81,7.98,-0.19,9.91,0.00,1.25,-37.96,-37.09,-8.27
5.82,7.93,5.79,7.94,-0.15,9.91,0.00,0.00,-37.96,-36.94,-0.87
5.745.74,7.89,5.83,7.94,-0.15,9.91,-0.02,-3.13,-37.96,-37.22,16.75
5.44,7.51,5.56,7.56,-0.15,9.39,-0.03,-0.63,-37.70,-37.37,2.93
5.82,7.93,5.81,7.94,0.00,9.79,0.00,0.00,-37.96,-36.17,0.02
5.71,7.85,5.82,7.90,-0.19,9.83,0.00,-0.63,-37.96,-37.62,2.54
5.74,7.89,5.81,7.94,-0.15,9.91,0.01,0.63,-37.70,-37.15,-4.49
5.67,7.92,5.82,7.94,-0.19,9.87,0.00,1.25,-37.70,-37.59,-8.32
5.67,7.89,5.83,7.94,-0.15,9.87,0.01,1.25,-37.96,-37.37,-8.11
5.71,7.89,5.82,7.94,-0.15,9.91,-0.01,-1.25,-37.70,-37.25,6.35
5.70,7.89,5.86,7.90,-0.15,9.87,0.01,0.63,-37.70,-37.67,-4.51
5.78,7.89,5.81,7.94,-0.15,9.87,0.00,0.63,-37.70,-37.07,-4.49
5.78,7.85,5.82,7.94,-0.15,9.87,-0.01,-0.63,-37.96,-37.06,2.77
5.82,7.89,5.83,7.94,-0.15,9.87,0.00,0.00,-37.96,-37.09,-0.88
5.78,7.93,5.86,7.94,-0.11,9.83,0.00,0.00,-37.70,-37.19,-0.65
5.74,7.93,5.83,7.94,-0.15,9.79,0.01,0.00,-37.70,-37.32,-0.89
5.70,7.89,5.93,7.91,-0.19,9.87,-0.02,-1.25,-37.70,-38.34,6.15
5.93,7.82,5.71,7.79,-0.15,9.79,-0.00,-0.00,-37.96,-36.78,-0.87
5.51,8.15,5.57,8.19,-0.57,9.95,-0.01,-1.25,-37.96,-37.52,3.93
6.15,8.01,5.94,7.98,-0.34,9.99,0.03,2.51,-37.96,-38.26,-15.92
5.39,9.04,4.66,8.97,-1.92,9.74,0.11,5.01,-37.96,-37.26,-35.44
7.50,9.08,5.59,7.94,-0.75,9.83,0.19,0.63,-37.96,-37.36,-7.95
6.66,6.94,6.20,7.00,0.61,9.16,0.24,-3.13,-37.96,-36.84,22.22
5.89,6.67,7.60,6.90,1.73,10.12,0.12,-9.40,-37.96,-40.03,47.71
4.16,7.59,5.63,7.67,-0.16,9.91,0.01,1.25,-37.70,-39.70,-8.14
6.55,7.72,5.86,8.09,-0.26,9.87,0.00,-0.63,-37.70,-35.72,2.13
6.55,8.05,5.88,8.02,-0.23,9.91,-0.01,1.25,-37.96,-36.45,-8.52
5.66,7.96,5.87,8.01,-0.23,9.83,-0.01,-2.51,-37.96,-37.87,13.04
5.58,7.81,5.90,7.91,-0.11,9.83,-0.01,0.63,-37.70,-37.81,-4.27
5.33,7.88,5.83,7.94,-0.19,9.87,0.00,-0.63,-37.96,-38.20,2.53
5.36,7.95,5.67,8.04,-0.31,9.83,0.01,-1.25,-37.96,-37.38,5.50
6.28,7.68,6.16,7.77,0.16,9.91,0.03,0.00,-37.96,-37.16,0.93
5.52,7.88,5.84,7.91,-0.19,9.83,0.00,1.25,-37.70,-38.11,-8.36
5.44,7.88,5.74,7.94,-0.15,9.87,0.00,-0.63,-37.96,-37.19,2.75
5.62,7.89,5.79,7.97,-0.15,9.95,-0.01,0.00,-37.70,-36.97,-0.84
