acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
-6.55,7.39,-6.59,7.40,-0.15,9.95,0.00,-1.25,41.60,40.82,6.31
-9.23,6.13,-9.21,5.57,3.13,9.06,-0.61,8.78,41.60,78.81,-31.94
-10.39,6.81,-6.30,6.69,0.17,10.99,-0.94,3.13,41.86,36.64,-15.12
-8.18,6.86,-7.34,7.49,-2.69,9.97,-0.49,5.64,41.86,27.20,-39.87
-11.79,5.25,-9.26,5.26,-2.37,9.82,-0.20,6.90,41.86,44.09,-43.35
-4.87,7.87,-6.02,8.06,0.60,9.92,0.09,1.25,41.60,41.86,-3.77
-5.55,7.26,-6.52,7.07,-0.59,9.63,0.04,-0.63,41.60,40.96,0.20
-11.16,5.50,-7.41,7.13,-0.07,10.15,0.19,5.64,41.60,37.48,-29.34
-10.16,4.32,-9.92,4.02,-6.13,8.87,1.02,20.69,41.86,33.67,-71.69
-11.04,2.58,-8.44,6.73,-5.08,8.66,1.64,20.06,41.86,11.66,-70.99
-10.09,4.80,-9.32,4.89,-5.75,10.21,3.05,15.04,41.86,32.03,-63.86
-7.41,8.30,-6.40,8.94,-7.57,8.99,3.60,52.66,41.60,-6.85,-81.51
-3.88,7.30,-4.40,7.49,20.15,11.66,2.96,10.66,41.60,91.26,39.15
-9.09,8.27,-5.42,7.23,6.38,6.75,2.55,-76.48,41.86,74.00,85.34
-8.13,7.46,-6.54,10.36,4.54,7.51,2.67,-14.42,41.60,58.63,68.38
-4.94,6.90,-3.53,7.20,-4.50,8.99,1.94,-6.27,41.60,-4.22,11.12
-8.80,9.87,-5.63,10.04,16.51,10.78,2.18,-2.51,41.60,80.65,60.46
-3.78,8.95,-4.72,7.04,20.29,11.35,1.28,-4.39,41.60,99.48,65.30
-4.97,8.24,-3.31,8.31,9.55,12.24,1.50,-5.01,41.60,55.87,49.97
-6.34,9.59,-5.10,7.83,-0.43,10.40,1.17,-7.52,41.60,30.51,34.28
-5.44,7.74,-5.94,8.03,0.49,9.63,0.88,-5.01,41.60,39.93,29.74
-4.20,8.75,-5.43,7.14,0.86,9.00,0.53,-4.39,41.60,47.38,30.24
-4.79,7.72,-5.54,7.96,0.54,9.92,0.08,-12.54,41.60,38.94,52.82
