acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
0.74,-6.42,7.31,-6.66,7.25,-0.16,10.11,0.01,-0.63,42.12,42.15
-0.01,-0.33,9.80,-0.15,9.85,-0.15,9.91,-0.01,-1.88,-0.26,-0.38
-0.00,0.50,9.86,0.12,9.83,-0.04,9.79,-0.01,-0.63,-0.52,-0.14
0.15,-0.32,9.88,-0.29,9.89,1.16,9.89,0.00,-1.25,-0.26,8.34
0.01,-0.40,9.80,-0.27,9.77,-0.16,9.75,0.02,2.51,-0.26,0.36
-0.01,-0.36,9.84,-0.23,9.70,-0.32,9.83,-0.01,-0.63,-0.26,-0.78
0.02,-0.28,9.88,-0.24,9.81,-0.06,9.95,-0.02,-1.25,-0.26,0.98
0.00,-0.32,9.84,-0.24,9.81,-0.20,9.79,-0.00,-1.25,-0.26,0.07
-0.00,-0.25,9.88,-0.20,9.70,-0.19,9.79,-0.01,0.00,-0.26,-0.06
0.03,-0.25,9.84,-0.19,9.78,0.17,9.95,0.01,0.00,-0.52,1.98
0.07,0.59,9.82,-0.17,9.93,0.25,9.84,0.00,0.00,-0.52,4.07
0.09,-0.33,9.73,-0.22,9.74,0.69,9.96,0.01,2.51,-0.26,5.03
-0.03,-0.36,9.73,-0.19,9.74,-0.46,9.83,-0.01,-2.51,-0.52,-1.95
0.12,-0.28,9.73,-0.13,9.89,1.14,10.20,0.00,-0.63,-0.52,6.83
-0.01,-0.25,9.69,-0.12,9.89,-0.17,9.95,0.01,1.25,-0.78,-0.55
-0.06,-0.28,9.54,-0.03,9.63,-0.50,9.75,0.03,3.13,-0.78,-3.28
-0.13,-0.28,9.62,-0.11,9.78,-1.35,9.79,0.01,1.25,-1.56,-7.57
-0.34,-0.21,9.21,0.07,9.64,-3.11,9.40,0.09,1.88,-3.12,-19.26
0.08,0.28,9.82,-1.65,9.83,-1.97,12.54,0.56,13.79,-2.60,4.61
-0.18,-0.37,9.58,-1.70,11.02,-2.99,7.71,0.47,5.64,-2.34,-10.45
-0.13,0.12,10.75,-0.55,13.25,-1.73,9.06,1.21,2.51,-1.30,-7.54
0.04,-0.72,10.31,-0.84,10.80,-0.41,11.12,1.09,-3.76,-0.78,2.54
-0.40,0.32,9.45,1.41,9.05,-1.84,8.97,0.76,-9.40,-1.82,-23.06
0.14,0.35,10.98,-0.07,9.33,1.18,10.22,0.74,62.69,-2.34,8.05
-0.08,0.41,9.60,-0.83,10.07,-2.00,9.50,0.83,2.51,-2.86,-4.70
-0.18,-0.31,9.69,-0.66,9.05,-2.59,9.25,1.09,5.01,-3.64,-10.49
-0.55,-0.57,6.74,-0.29,6.80,-7.59,11.58,1.54,8.78,-2.60,-31.61
-0.26,0.10,8.81,-0.58,6.27,-4.07,9.29,1.84,59.55,-1.82,-14.84
0.04,-0.29,9.32,0.78,10.08,1.34,8.60,1.67,-4.39,-1.56,2.36
0.14,-0.61,9.46,1.29,10.77,3.48,10.70,0.91,-6.27,-1.82,7.99
-0.12,0.33,9.52,0.65,9.74,-0.41,9.96,1.21,-1.88,-2.60,-6.84
0.29,0.37,9.00,-0.40,9.14,2.29,10.39,1.16,5.01,-2.86,16.70
0.30,0.79,8.67,-0.55,7.72,1.71,10.59,1.39,3.13,-2.60,17.27
0.76,0.17,9.74,-0.83,9.07,8.54,11.91,1.03,4.39,-2.34,43.43
-0.11,0.63,10.50,-0.09,8.93,-1.58,9.98,1.59,1.25,-1.04,-6.49
-0.16,0.51,9.64,0.55,8.94,-0.92,9.74,0.82,-64.57,0.00,-9.11
-0.03,0.90,10.28,1.79,10.34,1.71,9.76,0.81,-13.79,0.52,-1.66
0.04,0.09,10.00,-0.02,9.71,0.36,10.08,0.09,-13.16,0.00,2.41
0.04,-0.36,9.69,-0.16,9.74,0.32,9.83,-0.04,-0.63,-0.52,2.33
