acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
5.78,7.89,5.87,7.94,-0.15,9.83,-0.01,-0.63,-37.70,-37.45,2.76
5.48,7.51,5.49,7.52,-0.19,9.51,-0.01,0.00,-37.96,-37.29,-1.12
5.78,7.89,5.83,7.94,-0.19,9.83,0.00,0.00,-37.96,-37.41,-1.13
5.78,7.89,5.91,7.98,-0.11,9.91,0.01,1.88,-37.70,-37.28,-11.38
5.78,7.89,5.83,7.94,-0.15,9.87,0.00,-0.63,-37.96,-37.16,2.76
5.78,7.89,5.83,7.94,-0.20,9.87,0.01,1.25,-37.70,-37.42,-8.35
5.82,7.93,5.83,7.98,-0.15,9.95,0.00,-0.63,-37.96,-37.01,2.72
5.78,7.93,5.84,7.94,-0.11,9.91,-0.01,0.00,-37.70,-37.07,-0.66
5.78,7.93,5.83,7.90,-0.19,9.87,0.01,-0.63,-37.96,-37.66,2.53
5.78,7.93,5.88,7.94,-0.15,9.87,0.00,0.63,-37.96,-37.52,-4.51
5.82,7.89,5.84,7.94,-0.12,9.87,-0.01,-0.63,-37.96,-36.97,2.96
5.78,7.89,5.83,7.90,-0.19,9.91,0.01,1.88,-37.70,-37.56,-11.80
5.78,7.93,5.87,7.94,-0.15,9.91,0.00,-0.00,-37.70,-37.50,-0.89
5.55,7.92,5.99,7.87,-0.11,9.75,0.00,-1.25,-37.70,-38.73,6.67
5.89,7.89,5.75,7.94,-0.19,9.87,0.01,1.88,-37.70,-36.73,-11.87
5.67,7.81,5.87,7.87,-0.15,9.91,-0.02,-1.88,-37.96,-37.87,9.89
5.86,7.93,5.83,7.94,-0.15,9.83,-0.01,-1.25,-37.96,-37.13,6.39
5.74,7.93,5.86,7.94,-0.15,9.87,-0.01,-1.25,-37.70,-37.53,6.36
5.78,7.89,5.87,7.94,-0.15,9.91,-0.01,-1.88,-37.96,-37.45,9.89
5.70,7.93,5.86,7.98,-0.15,9.83,-0.01,-1.88,-37.70,-37.41,9.97
5.78,7.89,5.83,7.90,-0.15,9.87,0.00,1.88,-37.96,-37.39,-11.64
5.78,7.89,5.88,7.90,-0.15,9.83,0.00,-1.25,-37.70,-37.66,6.40
5.78,7.89,5.83,7.94,-0.15,9.91,0.00,0.63,-37.96,-37.21,-4.50
5.70,7.93,5.87,7.90,-0.15,9.87,0.01,1.25,-37.70,-37.81,-8.11
5.70,7.89,5.83,7.90,-0.19,9.87,-0.01,0.00,-37.96,-37.75,-1.11
5.70,7.89,5.83,7.94,-0.15,9.83,0.02,1.25,-37.70,-37.29,-8.13
5.67,7.89,5.83,7.90,-0.15,9.95,-0.01,-0.63,-37.96,-37.57,2.73
5.70,7.89,5.88,7.90,-0.15,9.87,-0.01,0.00,-37.96,-37.80,-0.89
5.78,7.96,5.83,7.94,-0.15,9.83,0.00,0.63,-37.70,-37.30,-4.52
5.82,7.85,5.86,7.87,-0.11,9.91,0.00,0.00,-37.70,-37.38,-0.64
5.86,7.89,5.87,7.94,-0.12,9.91,-0.01,-1.88,-37.70,-37.11,10.09
5.85,7.93,5.83,7.94,-0.15,9.91,0.01,-0.63,-37.70,-37.12,2.75
5.70,7.85,5.79,7.90,-0.16,9.87,0.01,0.63,-37.96,-37.25,-4.53
5.55,7.88,5.79,7.94,-0.16,9.87,0.00,0.63,-37.70,-37.33,-4.53
5.63,7.92,5.87,7.90,-0.12,9.87,0.00,0.63,-37.70,-37.69,-4.31
5.89,7.86,6.02,7.80,0.16,10.03,-0.01,-1.25,-37.70,-37.00,8.04
6.70,7.72,6.77,7.68,0.46,10.20,-0.01,-0.63,-37.96,-38.95,6.10
7.33,7.37,7.44,6.42,1.14,10.61,0.00,-0.63,-37.70,-44.81,9.48
7.16,7.74,8.16,8.34,1.21,10.91,-0.41,-21.31,-37.96,-38.58,64.15
7.85,5.10,8.45,6.52,-3.45,7.64,-1.77,-21.94,-37.70,-75.17,67.54
5.37,5.52,6.69,6.23,1.23,9.87,-1.91,45.76,-37.70,-40.71,-77.50
7.46,6.96,6.94,7.37,-18.85,8.04,-2.38,-10.66,-37.96,-108.75,-45.55
5.49,8.86,5.45,8.29,-6.03,8.88,-2.77,-3.13,-37.70,-68.06,-18.06
5.21,8.37,4.71,9.47,9.89,10.75,-3.27,1.25,-37.70,18.03,38.80
2.02,6.95,8.09,4.60,-7.17,13.43,-2.36,16.30,-37.70,-98.22,-60.21
1.90,6.53,6.81,9.54,-0.88,9.75,-1.83,68.95,-37.70,-44.21,-82.05
6.43,10.04,2.39,8.77,6.49,10.41,-2.11,-52.66,-37.70,25.87,80.02
4.63,8.46,3.51,7.96,5.07,9.34,-1.69,8.15,-37.96,6.83,-18.24
7.21,7.73,5.43,9.27,6.04,11.27,-0.75,6.27,-37.70,2.36,-1.17
5.27,10.94,2.85,8.04,-3.71,8.47,-1.04,3.76,-37.70,-39.33,-41.41
3.03,8.24,4.21,7.87,-5.32,10.20,-0.70,8.15,-37.70,-58.59,-52.87
3.81,8.85,4.19,8.99,-2.80,8.77,-0.34,8.15,-37.96,-43.33,-51.30
8.01,7.94,6.12,7.99,0.59,9.84,0.03,4.39,-37.96,-30.69,-21.14
3.38,8.17,5.06,8.13,-0.69,9.99,0.00,0.00,-37.96,-38.98,-3.97
2.76,8.31,4.72,8.19,-0.44,10.27,0.14,6.90,-37.96,-36.23,-35.55
3.10,9.70,3.09,9.68,-5.80,10.06,0.99,18.18,-37.70,-47.61,-67.23
4.27,7.48,5.76,9.10,-5.80,15.64,1.30,18.18,-37.96,-53.38,-56.88
5.20,8.88,2.20,7.32,-12.40,7.83,2.66,10.03,-37.70,-66.84,-70.76
5.12,9.93,4.26,9.07,-9.07,10.42,2.50,2.51,-37.70,-65.29,-48.01
5.31,4.96,7.87,8.04,-19.72,9.36,2.62,-57.04,-37.70,-108.49,75.92
8.22,6.53,5.82,9.46,12.89,14.01,3.19,-9.40,-37.96,17.62,57.86
9.61,6.41,6.13,6.81,1.26,8.99,2.42,-12.54,-37.96,-26.89,56.90
6.98,8.07,7.82,7.32,2.52,10.92,2.17,-54.54,-37.96,-36.12,79.17
5.92,7.07,5.10,7.12,-5.71,13.80,2.23,-14.42,-37.96,-56.34,32.26
7.68,8.19,5.65,6.57,3.50,9.65,1.97,-2.51,-37.96,-19.43,31.90
7.78,7.00,7.34,7.32,14.37,13.40,1.10,-6.90,-37.96,3.03,57.79
6.95,7.62,7.15,7.22,6.44,10.03,1.29,-8.15,-37.96,-12.91,55.48
5.15,6.76,7.10,7.01,1.68,10.36,0.97,-5.64,-37.70,-38.53,35.23
6.25,7.34,6.94,7.05,0.99,10.00,0.66,-8.15,-37.70,-40.39,42.42
5.82,5.65,7.82,6.30,2.52,9.89,0.25,-10.03,-37.70,-38.29,51.77
4.63,7.72,6.04,8.06,0.75,9.60,-0.19,-7.52,-37.96,-34.28,40.77
9.52,7.45,6.85,6.46,6.61,10.27,-0.76,-12.54,-37.96,-11.11,61.79
7.78,6.92,6.78,7.87,3.38,9.45,-1.51,-13.79,-38.22,-18.28,61.18
4.83,7.49,6.74,7.03,-0.48,9.81,-1.91,-5.01,-37.96,-50.09,24.82
5.96,8.71,7.32,7.66,-1.30,9.68,-1.34,4.39,-37.96,-54.73,-30.43
5.42,8.92,5.42,9.79,-3.04,9.76,-1.89,1.25,-37.96,-45.48,-23.75
4.25,7.10,7.89,7.42,11.73,11.10,-1.62,4.39,-37.70,-4.22,33.49
3.37,8.02,4.57,7.50,9.13,12.08,-0.74,7.52,-37.96,2.60,7.60
4.32,7.56,4.67,8.03,0.72,10.11,-1.02,5.64,-37.96,-26.24,-25.93
2.82,7.26,5.06,7.91,-0.25,9.35,-0.60,8.78,-37.96,-37.39,-43.98
3.57,8.77,4.38,8.69,-2.36,9.86,-0.30,4.39,-37.70,-41.84,-34.38
7.54,8.08,6.18,8.06,0.00,9.67,-0.05,5.01,-37.70,-35.09,-27.38
8.65,8.21,6.56,8.19,-0.46,9.79,0.01,-1.25,-37.70,-37.97,4.62
8.92,8.04,6.41,8.14,-0.30,9.79,0.01,0.63,-35.10,-35.58,-5.42
11.20,7.94,6.65,8.49,-0.19,9.91,0.00,1.25,-30.68,-30.78,-8.29
7.48,7.37,4.87,8.57,-0.19,9.95,-0.01,-1.25,-23.40,-24.50,6.10
5.67,6.69,3.75,8.78,-0.15,9.95,-0.01,-1.88,-14.30,-18.52,9.86
-0.74,6.89,-0.09,8.90,-0.19,9.79,0.01,1.25,-5.20,-2.02,-8.37
-5.51,7.78,-1.63,8.68,-0.15,9.87,0.00,0.63,2.34,0.31,-4.51
-7.97,9.00,-2.69,9.41,0.12,9.87,-0.01,-1.25,6.50,5.03,7.90
-7.78,9.30,-3.52,9.57,-0.38,9.95,-0.01,-1.25,8.06,9.17,5.03
-3.26,9.03,-0.73,9.64,1.46,10.60,-0.09,-4.39,7.02,6.56,28.86
-1.39,9.78,0.61,9.66,-3.62,9.44,-0.31,-9.40,4.94,-29.03,31.47
-0.67,8.79,0.39,10.27,1.19,8.92,-0.46,-3.13,2.60,3.51,25.89
-0.56,9.17,-0.22,8.66,-1.54,8.47,-0.93,-7.52,-0.52,-9.70,35.24
-0.74,10.28,0.24,10.09,2.86,9.08,-0.68,-6.90,-4.42,14.07,47.07
-0.96,8.45,2.08,10.24,-1.49,9.04,-1.60,-6.90,-9.62,-25.72,30.89
5.37,8.59,3.96,8.95,-6.00,8.60,-1.63,3.13,-14.82,-55.57,-46.71
2.34,8.41,2.65,10.04,-2.06,10.66,-0.98,-0.00,-19.50,-25.53,-10.96
6.04,9.24,3.63,9.71,-2.32,9.33,-1.19,11.91,-24.18,-29.41,-56.74
5.15,10.08,3.49,10.32,5.24,9.18,-0.65,6.90,-26.26,14.30,-10.24
6.53,9.47,3.96,9.50,-1.73,10.34,0.01,12.54,-26.26,-27.08,-54.07
5.05,10.22,2.95,9.86,-2.39,9.78,0.51,10.03,-23.92,-26.32,-51.78
4.63,8.76,1.92,10.71,-14.62,11.11,0.94,6.27,-20.02,-57.32,-61.98
4.73,10.07,2.61,9.68,-1.85,11.53,0.87,-48.27,-15.34,-19.89,76.05
