acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
0-12.38,8.16,-9.17,8.32,-2.46,12.38,0.00,-0.63,41.86,32.36,-8.43
-16.35,7.04,-9.00,7.64,-1.91,11.06,0.01,0.63,41.86,28.80,-12.94
-9.63,5.51,-7.22,6.31,-2.36,9.54,-0.01,-1.88,41.86,29.88,-2.85
-6.39,4.08,-5.76,5.77,-1.50,8.14,-0.01,-1.88,41.86,30.41,2.66
-10.99,3.01,-6.48,6.27,-0.43,8.79,0.01,1.25,41.86,29.89,-10.85
-12.31,2.69,-7.59,6.19,0.38,9.20,-0.01,-1.88,41.86,40.33,13.82
-8.97,3.77,-6.30,6.99,1.42,10.13,0.00,0.00,41.60,40.96,7.99
-5.87,6.05,-5.02,7.82,2.56,9.01,0.00,-1.25,41.60,44.85,22.94
-5.28,7.09,-5.25,8.35,2.24,9.73,-0.01,-0.63,41.60,43.68,16.41
-4.93,6.11,-5.17,7.64,1.63,9.33,0.00,0.00,41.60,42.62,9.93
-7.01,5.46,-5.73,6.32,0.56,7.52,0.01,0.63,41.60,42.61,-0.53
-10.99,4.92,-7.19,6.70,0.68,9.48,-0.01,-1.88,41.86,42.24,15.09
-9.36,5.96,-6.91,7.09,0.78,9.80,-0.01,-1.25,41.60,43.17,11.72
-9.05,7.09,-6.57,7.68,1.40,9.72,0.01,1.88,41.60,43.74,-2.85
-3.59,7.89,-5.39,8.36,1.74,9.61,0.00,0.63,41.60,45.65,6.60
-0.82,7.94,-1.12,8.40,1.82,7.44,0.04,0.00,40.04,21.89,13.77
1.85,9.29,-4.79,9.20,2.28,10.25,-0.01,0.00,39.52,50.93,12.57
-1.19,7.98,-4.21,8.49,1.98,9.73,0.01,0.00,41.60,43.05,11.49
0.16,8.34,-6.48,7.85,0.44,10.60,-0.01,-0.63,41.60,51.73,5.73
-12.95,7.93,-7.38,8.18,1.28,10.24,-0.01,-1.25,41.60,39.88,13.91
-2.74,7.58,-5.36,7.55,-0.03,10.07,0.01,-0.63,41.60,39.83,3.40
-6.13,6.88,-6.35,6.90,-0.64,9.19,0.01,1.88,41.86,38.98,-15.35
-9.02,10.09,-6.19,9.08,1.71,8.16,-0.01,-2.51,41.60,42.44,27.35
-14.23,7.06,-10.43,7.52,0.17,9.99,-0.02,-1.88,41.60,50.51,11.61
-1.26,8.33,-4.51,7.03,0.69,9.36,0.01,-0.63,41.60,45.34,8.04
-9.73,7.53,-7.45,7.45,0.17,9.87,0.01,0.63,41.60,42.66,-2.63
-8.17,6.87,-6.29,7.22,-0.22,9.35,-0.03,-1.88,41.60,35.92,10.10
-10.04,7.43,-8.03,7.40,0.01,10.19,0.01,0.63,41.60,44.68,-3.46
-5.33,7.49,-6.55,7.37,-0.11,9.75,-0.01,0.00,41.86,43.10,-0.64
-4.67,7.35,-6.19,7.35,-0.34,9.83,0.01,1.25,41.60,40.58,-9.23
-5.67,7.10,-7.02,7.18,-0.50,10.03,-0.01,-1.25,41.60,43.41,4.31
-5.67,7.44,-6.38,7.41,-0.08,9.83,-0.02,-1.25,41.60,41.47,6.82
-6.38,7.16,-6.87,7.20,-0.51,10.03,0.01,0.63,41.60,41.38,-6.48
-5.65,7.00,-6.53,7.18,-0.92,9.75,-0.01,-1.25,41.86,38.07,1.96
-5.29,7.38,-6.31,7.27,-0.13,9.75,0.00,1.88,41.60,42.02,-11.66
-5.59,7.33,-6.56,7.33,-0.08,9.87,0.01,1.88,41.86,42.89,-11.22
-5.93,7.36,-6.52,7.37,-0.15,9.83,-0.01,-1.25,41.60,41.54,6.38
-6.12,7.36,-6.57,7.40,-0.15,9.87,0.00,0.00,41.60,41.32,-0.88
-6.28,7.35,-6.57,7.37,-0.15,9.91,-0.01,-1.25,41.60,41.32,6.37
-6.35,7.35,-6.60,7.33,-0.12,9.83,-0.01,-1.88,41.60,41.74,10.17
-6.43,7.39,-6.60,7.33,-0.15,9.95,0.00,0.00,41.60,41.46,-0.88
-6.51,7.39,-6.60,7.37,-0.15,9.91,0.00,1.25,41.86,41.16,-8.06
-6.51,7.31,-6.66,7.32,-0.15,9.83,0.01,0.00,41.60,41.65,-0.87
-6.51,7.31,-6.63,7.33,-0.15,9.95,-0.01,-1.25,41.60,41.44,6.32
-6.55,7.35,-6.59,7.29,-0.15,9.91,0.01,2.51,41.60,41.40,-15.00
-6.55,7.31,-6.67,7.32,-0.15,9.87,-0.02,-0.63,41.86,41.61,2.76
-6.54,7.35,-6.66,7.32,-0.19,9.83,0.01,0.63,41.60,41.42,-4.73
-6.55,7.35,-6.64,7.36,-0.15,9.83,-0.01,-0.63,41.60,41.28,2.79
-6.55,7.39,-6.67,7.32,-0.19,9.91,0.00,0.00,41.86,41.50,-1.10
-6.55,7.31,-6.66,7.32,-0.15,9.83,-0.01,-1.25,41.86,41.55,6.40
-6.58,7.31,-6.62,7.29,-0.19,9.83,0.00,1.25,41.60,41.25,-8.35
-6.62,7.35,-6.63,7.36,-0.15,9.95,0.01,-0.00,41.60,41.13,-0.86
-6.58,7.35,-6.67,7.32,-0.19,9.91,-0.01,0.63,41.86,41.38,-4.71
-6.66,7.31,-6.63,7.33,-0.18,9.83,0.01,0.00,41.60,40.99,-1.08
-6.55,7.35,-6.64,7.36,-0.15,9.91,0.00,0.00,41.86,41.27,-0.87
-6.59,7.35,-6.67,7.32,-0.15,9.91,0.01,1.88,41.86,41.59,-11.60
-6.62,7.31,-6.64,7.36,-0.15,9.91,-0.01,-1.88,41.60,41.10,9.91
-6.58,7.35,-6.62,7.33,-0.11,9.87,0.00,-0.63,41.86,41.56,2.98
-6.58,7.35,-6.63,7.36,-0.15,9.83,0.00,0.63,41.60,41.19,-4.51
-6.55,7.35,-6.63,7.36,-0.15,9.91,0.00,-0.63,41.60,41.24,2.75
-6.62,7.35,-6.63,7.33,-0.15,9.83,-0.01,-0.63,41.86,41.31,2.77
-6.59,7.31,-6.63,7.33,-0.15,9.87,-0.01,-2.51,41.60,41.31,13.43
-6.66,7.31,-6.64,7.36,-0.15,9.87,0.01,2.51,41.86,41.05,-15.05
-6.66,7.35,-6.67,7.33,-0.19,9.83,-0.01,-0.00,41.60,41.28,-1.10
-6.47,7.46,-6.80,7.43,-0.16,10.19,0.01,-0.63,41.60,42.14,2.64
-6.55,7.42,-6.66,7.32,-0.15,9.99,0.00,0.00,41.60,41.77,-0.85
-6.58,7.35,-6.64,7.36,-0.15,9.99,0.00,0.00,41.86,41.20,-0.88
-6.62,7.35,-6.59,7.36,-0.11,9.91,-0.01,-1.25,41.86,41.07,6.57
-6.51,7.35,-6.55,7.33,-0.15,9.87,0.01,0.63,41.60,41.02,-4.51
-6.62,7.31,-6.67,7.32,-0.15,9.83,0.00,0.63,41.60,41.49,-4.52
-6.70,7.34,-6.70,7.32,-0.15,9.91,0.01,1.25,41.60,41.63,-8.07
-6.74,7.08,-6.70,7.14,-0.14,9.75,0.01,1.25,41.60,42.22,-8.16
-6.81,7.19,-6.67,7.32,-0.15,9.95,0.01,2.51,41.60,41.03,-14.96
-6.78,7.34,-6.62,7.29,-0.15,9.91,0.00,0.00,41.60,41.25,-0.85
-6.93,7.30,-6.71,7.36,-0.23,9.83,-0.01,0.00,41.60,40.60,-1.31
-6.70,7.34,-6.63,7.29,-0.19,9.87,0.01,0.63,41.86,41.16,-4.75
-6.78,7.34,-6.55,7.33,-0.15,9.83,-0.01,-1.25,41.60,40.58,6.40
-6.62,7.35,-6.63,7.33,-0.19,9.87,-0.01,-0.63,41.86,41.10,2.55
-6.70,7.34,-6.62,7.33,-0.15,9.95,0.00,-0.63,41.60,41.14,2.72
-6.66,7.35,-6.67,7.33,-0.23,9.91,-0.01,-0.63,41.60,41.07,2.30
