acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
0.04,-0.32,9.77,-0.46,9.84,-0.11,9.95,0.01,1.88,1.04,2.35
0.07,-0.32,9.65,-0.20,9.70,0.50,9.96,0.00,-1.25,1.30,3.74
-0.11,-0.32,9.88,0.08,9.83,-0.81,9.82,-0.04,-0.63,1.04,-6.08
0.03,-1.28,10.08,-1.45,9.91,-1.24,10.06,-0.10,-1.25,0.78,1.73
0.01,-0.20,9.99,-0.36,10.03,-0.36,9.99,-0.11,-0.63,0.26,0.37
0.02,-0.29,10.03,-0.02,10.01,0.32,9.95,0.00,1.25,0.00,1.35
-0.01,-0.32,9.84,-0.03,9.86,-0.04,9.95,-0.01,0.63,0.00,-0.64
0.01,-0.24,9.84,-0.31,9.85,-0.23,9.83,-0.01,-1.25,-0.26,0.61
0.04,-0.17,9.77,-0.28,9.77,0.08,9.83,-0.01,-0.63,-0.52,2.32
-0.03,-0.36,9.69,-0.23,9.63,-0.50,9.75,0.01,0.00,-0.52,-1.89
-0.03,-0.21,9.73,-0.15,9.82,-0.44,9.91,0.01,0.63,-0.78,-1.77
-0.00,-0.28,9.73,-0.17,9.89,-0.12,9.91,0.01,-0.63,-0.78,-0.00
-0.03,-0.29,9.62,-0.12,9.67,-0.31,9.71,0.02,-0.00,-1.30,-1.47
-0.05,-0.25,9.40,0.02,9.82,-0.33,9.63,0.05,0.63,-2.60,-2.64
0.05,-0.12,9.32,-2.55,8.94,-2.95,8.74,0.36,7.52,-1.56,2.76
0.22,0.13,9.63,-1.26,9.62,0.37,11.03,0.53,-5.01,-1.04,12.34
-0.38,-0.93,9.72,0.55,10.28,-2.81,9.81,0.53,-3.13,-0.26,-21.98
-0.16,-0.43,10.25,0.98,10.53,-0.17,10.99,0.36,-3.76,-1.56,-8.92
-0.39,-0.82,9.57,0.78,10.26,-2.65,10.06,0.18,6.90,-2.60,-22.20
-0.63,-0.10,10.59,-1.34,10.49,-7.99,7.75,0.46,4.39,-3.12,-36.11
-0.40,-0.25,9.81,-0.71,10.36,-4.70,9.06,1.10,6.27,-2.86,-22.65
-0.49,-0.44,9.28,0.36,9.91,-4.04,8.85,0.77,2.51,-3.38,-28.30
-0.18,-0.48,8.68,0.16,8.01,-1.18,9.25,1.50,-1.88,-1.04,-10.23
0.17,-1.20,9.26,0.80,9.93,3.67,11.18,1.30,-10.66,-1.56,9.57
-0.32,-0.36,9.84,0.64,9.96,-2.35,10.34,0.45,-5.01,-2.86,-18.59
0.12,-0.37,10.10,0.29,10.13,1.71,9.64,1.16,0.00,-3.64,7.06
1.16,-0.29,9.84,-1.40,8.98,15.37,10.99,1.57,9.40,-4.42,66.27
-0.70,-0.41,9.35,-0.00,9.67,-8.46,10.45,1.65,8.78,-3.64,-39.88
0.49,-1.22,4.78,-1.02,10.62,3.25,7.29,2.43,3.76,-3.12,28.28
-0.31,-0.22,9.77,0.62,8.95,-1.45,7.02,1.93,1.25,-2.86,-17.88
-1.20,0.18,12.13,0.91,8.90,-14.96,8.69,1.84,-60.18,-3.12,-68.57
0.47,-0.33,10.32,0.87,10.48,8.38,12.34,2.34,-3.76,-4.68,27.05
0.71,3.78,9.47,1.61,7.37,18.37,16.63,2.06,10.03,-5.72,40.87
-0.75,2.24,7.28,-1.65,8.92,-11.97,6.64,2.80,-44.51,-3.90,-42.98
-0.61,2.47,8.53,2.06,9.34,-3.77,8.58,3.47,-3.76,-1.56,-34.91
-0.59,1.73,10.04,3.07,10.39,-2.99,10.98,2.60,-14.42,0.78,-33.98
0.01,2.11,9.97,3.98,9.44,6.28,12.08,1.57,-33.85,1.04,0.64
-0.55,1.81,9.29,1.85,9.27,-3.43,9.45,0.38,-21.31,-0.52,-31.27
-0.09,1.25,9.99,0.19,9.87,-1.05,9.35,-0.03,0.63,-2.08,-5.24
-0.10,0.79,10.42,-0.37,10.14,-1.77,10.03,-0.31,6.90,-2.60,-5.46
-0.48,-0.30,9.51,1.75,10.56,-2.43,9.40,0.72,5.64,-1.30,-27.45
-0.08,-0.27,8.91,-0.25,9.25,-1.22,11.75,0.83,1.25,0.00,-4.46
-0.27,-0.69,9.42,0.96,9.35,-1.01,10.02,0.46,-3.13,0.00,-15.39
-0.08,-0.43,9.61,-0.14,9.81,-0.85,10.07,0.03,-11.28,-0.52,-4.64
0.01,-0.21,9.73,-0.18,9.82,-0.07,9.87,0.01,0.00,-1.82,0.55
0.26,-0.21,9.51,-1.03,9.70,1.32,10.55,0.13,6.27,-3.38,14.86
-0.40,0.12,9.96,-0.49,11.92,-5.44,11.05,0.70,15.04,-2.86,-23.00
0.17,-0.23,7.90,0.08,9.71,2.36,12.08,0.72,-53.91,-2.08,9.97
-0.24,-0.36,8.42,-1.30,8.78,-3.87,8.47,1.35,-3.13,-1.82,-14.04
-0.11,-0.90,10.35,-0.76,10.49,-1.73,9.66,1.30,-1.25,-0.26,-6.35
0.14,4.25,9.30,1.84,9.30,2.76,11.17,0.90,-13.16,-1.04,8.09
-0.05,0.28,9.11,0.46,9.64,0.00,9.27,0.47,-6.90,-1.56,-3.03
-1.39,-0.03,9.22,0.65,8.54,-20.93,6.18,-0.15,5.01,-1.56,-79.74
0.14,1.38,9.28,-0.63,9.56,-0.01,10.95,0.51,-2.51,-0.26,8.07
-0.08,-0.15,9.96,2.28,9.91,2.47,10.26,0.29,-8.78,0.78,-4.31
0.20,1.01,9.68,-1.12,9.18,-0.06,9.11,-0.06,-1.25,0.52,11.58
-0.03,-0.55,9.80,-0.03,9.86,-0.14,9.87,-0.01,3.13,1.30,-1.80
-0.13,-0.39,9.87,-0.59,9.73,-1.96,9.70,-0.01,-1.88,2.34,-7.45
0.16,-0.90,10.24,0.19,10.35,2.48,11.29,-0.07,-1.88,2.60,9.14
0.09,-0.36,10.44,-0.53,10.73,0.38,9.55,-0.41,-3.76,2.08,5.37
-0.07,-0.44,9.24,0.05,9.34,-0.37,9.01,-0.63,-6.27,2.34,-3.75
0.19,-0.29,8.61,0.14,8.81,2.69,11.73,-0.16,-3.76,2.08,11.03
-0.11,-0.18,9.77,0.61,9.59,-0.09,8.55,-1.03,-4.39,0.52,-6.03
0.05,-0.60,10.81,-1.55,10.14,-1.51,10.58,-0.80,10.66,0.26,2.76
-0.13,0.24,8.69,-2.09,8.34,-4.64,8.89,-0.30,13.16,0.78,-7.73
0.04,-0.22,9.70,0.05,9.75,0.56,9.80,-0.01,1.25,2.08,2.39
0.26,-0.83,10.28,0.22,9.54,3.54,10.61,-0.23,-4.39,2.60,14.69
0.25,-0.82,9.87,-0.09,9.77,2.81,10.04,-0.59,-10.03,2.86,14.54
-0.78,0.54,8.92,2.10,10.55,-5.41,8.95,-1.05,-9.40,2.34,-44.71
0.28,-0.10,9.59,-0.60,9.82,2.07,9.96,-0.71,-3.13,1.04,16.23
0.28,-0.32,9.95,-1.39,10.63,1.11,9.85,-1.07,9.40,0.52,15.80
-0.07,-0.36,10.14,-0.86,10.27,-1.72,10.22,-0.66,6.27,1.30,-3.75
0.28,-0.48,11.11,-0.35,10.97,2.74,10.58,-0.50,-0.63,2.86,16.09
0.29,0.19,9.48,0.56,9.11,4.11,10.74,-0.80,-13.79,3.12,16.52
0.56,-0.25,11.04,-1.48,9.32,3.69,10.26,-0.68,-5.64,2.86,32.37
-0.78,-0.64,10.99,-0.13,9.37,-7.39,7.54,-1.57,-5.01,2.34,-44.82
-0.50,0.04,10.63,0.16,11.63,-8.92,17.14,-1.57,3.13,2.08,-28.47
0.15,0.22,9.18,-0.64,7.42,0.13,10.64,-1.01,0.63,1.82,8.77
0.42,-0.40,9.13,-0.15,10.08,4.46,10.18,-1.40,3.76,2.08,24.01
0.08,-0.71,9.01,0.33,10.08,1.64,10.95,-1.29,-1.25,2.86,4.56
-0.67,-0.04,8.58,-1.33,9.67,-12.34,10.97,-0.96,-4.39,3.12,-38.20
0.61,-0.59,11.33,-0.15,9.18,7.50,10.69,-1.77,-5.01,3.38,34.90
-1.20,-0.85,10.09,0.27,8.71,-19.03,9.39,-2.06,-9.40,3.90,-68.56
0.43,-0.93,10.87,0.82,10.89,4.68,7.34,-1.76,-8.15,3.38,24.86
-0.89,-0.21,9.70,-0.42,7.48,-16.72,11.52,-2.10,55.16,3.12,-51.21
-0.17,-0.34,9.02,-0.83,10.13,-2.33,8.44,-2.42,-50.15,3.38,-9.93
1.21,-0.41,10.25,-1.46,7.51,9.84,7.25,-1.78,2.51,3.38,69.54
-0.31,-0.54,8.87,-1.10,8.31,-6.45,12.60,-2.51,-2.51,4.68,-17.93
0.32,-0.41,8.16,1.31,11.91,6.88,13.76,-2.23,-9.40,5.72,18.23
-1.35,-1.56,12.31,-0.26,7.32,-19.18,5.18,-3.64,-21.31,4.16,-77.26
0.07,-3.67,7.61,-5.16,10.52,-3.20,7.87,-3.49,-43.25,4.94,4.10
-2.06,-1.03,9.93,0.64,12.38,-19.41,-8.08,-3.19,-10.03,3.38,-118.06
-0.12,-2.21,8.12,-2.58,8.94,-6.42,14.92,-3.06,15.67,0.78,-6.87
-0.73,-1.36,8.70,-2.69,9.54,-11.40,6.74,-1.77,90.89,-0.78,-41.54
