acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
-6.24,6.98,-6.27,6.89,-0.19,9.39,0.01,-0.63,41.60,41.31,2.69
-6.55,7.39,-6.63,7.33,-0.19,9.91,-0.01,-0.63,41.60,41.28,2.54
-6.62,7.31,-6.64,7.36,-0.15,9.83,0.01,1.25,41.60,41.07,-8.15
-6.58,7.35,-6.62,7.33,-0.15,9.83,0.00,0.00,41.60,41.33,-0.89
-6.55,7.35,-6.63,7.36,-0.15,9.95,-0.01,-0.63,41.60,41.23,2.72
-6.58,7.31,-6.62,7.33,-0.15,9.91,-0.01,-0.63,41.60,41.29,2.75
-6.58,7.35,-6.59,7.36,-0.11,9.87,-0.01,-1.25,41.60,41.12,6.58
-6.59,7.38,-6.62,7.33,-0.15,9.87,0.00,-0.63,41.60,41.35,2.75
-6.62,7.35,-6.63,7.36,-0.15,9.91,-0.01,-1.25,41.60,41.10,6.34
-6.62,7.31,-6.62,7.33,-0.15,9.83,0.00,-0.63,41.60,41.23,2.79
-6.55,7.35,-6.63,7.36,-0.15,9.83,0.00,0.00,41.60,41.21,-0.88
-6.59,7.31,-6.63,7.29,-0.19,9.91,0.00,-1.25,41.60,41.27,6.12
-6.58,7.31,-6.60,7.33,-0.19,9.87,0.01,1.88,41.60,40.91,-11.85
-6.58,7.35,-6.63,7.33,-0.15,9.83,-0.01,-1.25,41.60,41.36,6.39
-6.59,7.38,-6.64,7.36,-0.15,9.87,-0.00,-1.25,41.60,41.25,6.36
-6.59,7.38,-6.62,7.33,-0.11,9.87,-0.01,0.00,41.60,41.61,-0.65
-6.62,7.31,-6.62,7.36,-0.15,9.87,0.01,0.63,41.60,40.99,-4.52
-6.62,7.38,-6.63,7.36,-0.19,9.83,0.00,0.63,41.60,40.90,-4.76
-6.58,7.35,-6.59,7.33,-0.15,9.87,0.00,0.00,41.60,41.12,-0.89
-6.59,7.35,-6.63,7.36,-0.15,9.87,0.00,-0.63,41.60,41.16,2.75
-6.62,7.35,-6.59,7.33,-0.15,9.87,-0.01,-0.63,41.60,41.07,2.76
-6.59,7.38,-6.59,7.36,-0.19,9.87,-0.00,0.00,41.60,40.73,-1.11
-6.58,7.31,-6.64,7.36,-0.19,9.83,0.02,2.51,41.60,40.92,-15.35
-6.51,7.39,-6.59,7.33,-0.16,9.87,-0.01,-1.25,41.60,41.29,6.35
-6.62,7.27,-6.62,7.33,-0.15,9.83,0.01,2.51,41.60,41.17,-15.13
-6.59,7.35,-6.62,7.33,-0.15,9.87,-0.01,-0.63,41.60,41.33,2.75
-6.58,7.35,-6.63,7.36,-0.15,9.87,0.01,-1.25,41.60,41.17,6.36
-6.51,7.57,-6.82,7.58,-0.16,10.23,-0.01,0.00,41.60,41.57,-0.89
-6.62,7.31,-6.77,7.10,-0.42,9.91,0.00,0.63,41.60,41.77,-6.06
-6.89,7.00,-7.13,6.90,-0.89,10.03,0.10,3.13,41.60,41.41,-21.85
-6.96,6.93,-7.08,6.86,-0.85,9.87,-0.30,3.13,41.60,41.30,-21.98
-7.38,6.51,-7.62,6.73,-1.24,10.18,0.38,1.25,41.60,41.61,-13.75
-7.46,6.66,-6.88,6.94,-0.46,9.75,0.52,5.64,41.60,40.68,-32.03
-7.69,6.80,-7.12,6.82,-0.49,10.35,0.75,0.00,41.60,42.59,-2.73
-8.64,5.81,-7.32,5.63,-1.44,9.54,0.95,3.13,41.60,42.22,-25.63
-8.29,6.23,-8.14,6.79,-0.16,9.95,1.34,8.78,41.60,48.22,-41.94
-7.60,7.10,-6.95,7.46,0.20,9.23,1.03,-1.25,41.60,42.73,8.97
-6.79,6.56,-5.97,6.62,2.08,8.65,1.74,4.39,41.60,54.05,-14.92
-6.29,7.28,-6.38,6.93,0.04,10.07,1.66,1.25,41.60,43.59,-6.87
-7.77,7.54,-6.57,7.59,-0.39,9.71,1.08,1.25,41.60,36.57,-9.59
-6.15,7.32,-6.20,7.74,-0.69,9.79,1.63,5.01,41.60,34.23,-30.22
-4.65,7.58,-7.83,6.76,0.05,10.64,1.01,-53.91,41.60,54.66,78.85
-5.24,8.20,-6.65,8.18,0.67,10.48,1.56,53.91,41.60,44.96,-78.87
-7.72,6.80,-6.66,6.55,-0.69,8.99,1.40,-1.88,41.60,39.71,7.52
-7.25,7.25,-7.40,7.33,-0.68,9.79,1.40,-0.63,41.60,41.45,-0.30
-7.94,6.94,-7.28,7.00,-1.63,10.02,0.98,-0.63,41.60,35.79,-5.75
-7.64,6.95,-6.97,6.62,0.12,9.39,1.64,3.76,41.60,46.70,-21.20
-7.98,7.05,-6.91,7.18,-1.45,9.50,1.22,-55.16,41.60,33.33,79.97
-6.96,6.70,-6.83,7.25,-0.17,9.91,1.91,60.18,41.60,41.36,-80.67
-5.66,7.85,-7.21,7.79,0.31,9.95,1.94,2.51,41.60,46.85,-12.43
-4.31,7.70,-5.19,7.53,0.56,9.63,1.30,-3.76,41.60,39.77,24.17
-6.47,7.91,-5.63,8.32,0.55,9.76,1.69,-3.76,41.60,35.33,23.83
-6.89,7.34,-6.27,7.12,0.54,9.72,1.52,-7.52,41.60,43.80,39.67
-6.43,7.87,-6.75,8.07,0.57,10.12,0.76,0.00,41.60,43.37,3.22
-5.31,7.26,-6.81,7.77,1.05,10.12,1.15,-2.51,41.60,48.68,19.36
-4.91,7.94,-5.29,7.27,1.04,9.64,0.90,-1.88,41.60,43.87,16.85
-5.52,7.86,-5.85,7.73,0.77,9.72,0.63,-6.90,41.60,42.42,38.28
-5.78,7.70,-5.99,7.65,0.35,9.79,0.39,-5.01,41.60,40.53,28.71
-5.94,7.70,-6.13,7.64,0.43,9.84,0.23,-2.51,41.60,41.62,16.62
-6.05,7.58,-6.37,7.52,0.12,9.91,0.06,-3.13,41.60,41.56,18.15
-6.39,7.43,-6.55,7.40,-0.07,9.95,0.01,0.63,41.60,41.38,-4.03
-6.20,7.43,-6.52,7.37,-0.11,9.87,-0.01,-0.63,41.60,41.44,2.97
-6.32,7.54,-6.37,7.49,0.04,9.83,-0.05,-2.51,41.60,40.82,14.54
-6.05,7.58,-6.30,7.56,0.23,9.91,-0.13,-1.25,41.60,41.57,8.53
-6.24,7.65,-6.23,7.68,0.39,9.91,-0.26,-2.51,41.60,41.22,16.27
-6.05,7.66,-6.21,7.68,0.39,9.99,-0.40,-1.25,41.60,41.43,9.31
-5.75,7.66,-6.13,7.83,0.24,9.91,-0.59,-5.01,41.60,39.87,27.92
-6.24,7.62,-6.63,7.66,0.64,10.04,-0.75,-1.88,41.60,45.08,14.09
-5.97,7.84,-6.14,7.72,0.35,9.87,-0.91,-3.13,41.60,40.99,19.44
-5.90,7.66,-6.40,7.78,0.43,9.84,-1.11,-5.01,41.60,42.63,28.97
-6.24,7.65,-5.97,7.91,0.28,9.95,-0.73,-4.39,41.60,37.83,25.12
-6.35,7.20,-7.19,7.68,0.73,10.48,-1.43,-4.39,41.60,47.65,26.02
-8.24,7.27,-6.98,7.35,-0.41,9.95,-1.35,3.13,41.60,39.03,-19.61
-5.04,7.53,-6.02,7.46,0.03,9.99,-1.30,-1.88,41.60,40.84,10.85
-5.79,7.96,-6.13,7.83,0.39,9.67,-0.96,-6.27,41.60,41.09,34.54
-7.21,7.78,-6.72,7.76,0.37,9.95,-1.72,-0.63,41.60,42.23,5.70
-6.80,7.79,-6.23,8.01,-0.15,10.43,-1.98,-8.78,41.60,35.82,39.59
-6.09,7.91,-6.82,8.30,0.85,9.44,-1.65,-5.64,41.60,45.18,34.51
-6.82,8.80,-6.18,8.35,0.31,10.67,-2.50,-4.39,41.60,37.68,23.78
-6.12,6.98,-6.39,7.27,-1.66,10.50,-2.17,-3.76,41.60,32.38,11.33
-10.96,6.55,-6.18,6.85,3.63,9.81,-2.13,62.06,41.60,52.63,-80.47
-10.96,7.96,-6.46,7.80,1.98,10.45,-2.66,-60.18,41.60,42.48,80.46
