acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
5.86,7.85,5.94,7.94,-0.15,9.87,0.00,-0.63,-38.22,-37.68,2.75
0.62,8.45,1.77,8.96,-0.15,9.43,-0.01,-0.63,-11.44,-14.43,2.90
0.36,9.15,1.11,9.53,-0.19,9.87,0.01,1.25,-7.54,-9.26,-8.32
-0.29,9.28,0.41,9.65,-0.19,9.83,-0.00,-0.00,-4.16,-5.04,-1.10
0.22,9.37,0.20,9.76,-0.16,9.87,-0.01,-1.25,-0.52,-1.99,6.35
-0.40,9.39,-0.41,9.69,-0.15,9.87,0.00,-0.63,3.12,1.50,2.75
-1.16,9.34,-0.94,9.63,-0.15,9.91,0.01,1.88,5.98,4.17,-11.58
-0.55,9.16,-1.33,9.54,-0.08,9.83,0.00,-0.63,9.88,9.01,3.20
-1.76,8.91,-2.35,9.32,-0.15,9.87,0.00,0.00,14.30,14.29,-0.89
-2.90,8.66,-3.12,9.10,-0.15,9.87,0.00,0.00,18.46,18.17,-0.89
-5.46,8.23,-4.46,8.67,-0.19,9.91,0.01,1.25,23.40,23.72,-8.29
-4.53,8.18,-4.72,8.56,-0.19,9.91,-0.01,-0.63,27.56,27.75,2.51
-5.90,8.18,-5.20,8.31,-0.11,9.87,0.01,0.00,30.68,29.91,-0.65
-6.40,8.02,-5.61,8.15,-0.15,9.83,-0.01,-0.63,33.02,32.09,2.76
-5.19,7.94,-5.44,8.04,-0.15,9.91,0.00,0.00,34.84,33.53,-0.89
-6.41,7.65,-6.09,7.76,-0.15,9.87,-0.01,-1.88,37.18,36.60,9.94
-5.52,7.59,-6.13,7.61,-0.15,9.91,0.01,1.88,38.74,38.95,-11.60
-7.46,7.18,-6.38,7.37,-0.15,9.79,0.00,-1.25,41.08,37.88,6.43
-8.59,7.04,-7.09,7.20,-0.31,9.99,-0.01,-0.00,41.60,40.20,-1.78
-10.09,6.97,-7.08,7.19,-0.27,9.83,0.00,-0.63,41.60,37.79,2.10
-7.19,7.18,-6.74,7.28,-0.12,9.87,0.00,0.00,41.60,41.26,-0.68
-6.51,7.31,-6.59,7.33,-0.19,9.83,-0.01,0.63,41.86,40.93,-4.76
-6.43,7.35,-6.62,7.29,-0.15,9.91,0.00,-1.25,41.86,41.74,6.34
-6.51,7.35,-6.58,7.36,-0.15,9.91,0.01,0.63,41.60,40.99,-4.50
-6.47,7.35,-6.62,7.36,-0.15,9.83,-0.02,-1.25,41.60,41.27,6.38
-6.47,7.35,-6.59,7.33,-0.15,9.83,0.01,-1.88,41.86,41.27,9.97
-6.51,7.31,-6.62,7.33,-0.15,9.91,-0.02,0.00,41.60,41.39,-0.86
-6.55,7.35,-6.66,7.32,-0.15,9.87,-0.01,-2.51,41.86,41.60,13.43
-6.51,7.35,-6.66,7.29,-0.15,9.87,0.00,0.00,41.86,41.85,-0.89
-6.51,7.35,-6.67,7.32,-0.15,9.87,0.01,-0.63,41.86,41.71,2.75
-6.58,7.35,-6.67,7.29,-0.15,9.83,-0.01,-0.63,41.86,41.83,2.77
-6.62,7.35,-6.63,7.36,-0.19,9.87,0.02,2.51,41.86,40.85,-15.29
-6.62,7.35,-6.66,7.29,-0.15,9.83,0.00,1.25,41.86,41.70,-8.13
-6.62,7.31,-6.57,7.33,-0.15,9.83,0.01,1.25,41.60,40.90,-8.15
-15.84,6.77,-9.11,7.00,-0.12,9.95,-0.01,-2.51,41.08,42.31,13.52
-7.99,6.94,-6.49,7.44,-0.12,9.87,0.01,0.00,36.92,37.18,-0.68
-7.12,7.37,-5.81,7.88,-0.15,9.83,-0.02,-1.88,32.24,32.55,9.96
-6.03,7.55,-4.81,8.32,-0.23,9.99,0.01,0.00,27.30,25.48,-1.31
-3.69,7.93,-3.73,8.59,-0.15,9.83,-0.01,-0.63,21.32,22.08,2.75
-1.20,8.55,-2.36,9.24,0.01,9.79,0.01,1.88,16.12,16.41,-10.83
-0.85,9.16,-1.40,9.65,0.42,9.83,-0.04,-4.39,11.18,11.68,26.07
-0.97,9.30,-0.72,9.72,0.46,9.96,-0.25,-4.39,7.02,6.30,25.98
-1.31,9.11,-0.24,9.55,0.77,10.04,0.09,-3.13,2.86,3.49,21.26
0.19,8.96,0.67,9.44,0.31,9.67,-0.90,-10.66,-2.34,-3.19,48.58
1.45,8.80,1.69,9.48,0.51,9.96,-1.17,-5.64,-7.02,-7.41,31.70
1.35,8.46,2.05,9.27,0.31,9.91,-1.39,-4.39,-12.74,-11.77,25.36
4.53,8.49,3.39,9.33,0.35,10.03,-1.04,53.91,-18.20,-15.14,-79.39
5.24,8.14,4.32,8.62,-0.77,9.51,-1.79,-62.06,-23.92,-28.99,81.18
6.16,8.49,4.52,8.64,-0.50,9.67,-1.70,4.39,-28.60,-27.22,-26.84
6.27,8.50,4.83,8.50,-0.45,9.83,-1.00,-0.63,-31.98,-29.45,1.05
7.13,8.82,5.36,8.62,-0.86,10.03,-1.55,-0.63,-33.80,-33.64,-1.31
4.29,8.49,3.90,8.87,-2.42,9.82,-1.27,8.78,-35.10,-36.47,-48.74
5.09,8.69,5.15,8.77,-1.08,10.07,-1.01,4.39,-35.88,-36.62,-28.53
4.45,8.38,4.83,8.57,-0.84,9.99,-0.15,4.39,-36.92,-34.72,-27.64
4.97,8.02,6.25,8.17,-0.58,9.83,-0.55,4.39,-37.70,-42.60,-26.82
7.30,8.15,5.96,8.24,-0.69,9.95,-0.39,1.25,-38.48,-37.38,-11.06
5.74,8.30,5.40,8.29,-0.96,9.79,-0.21,4.39,-38.74,-38.09,-28.66
6.28,8.05,5.79,8.09,-1.89,9.94,0.01,0.63,-37.96,-45.50,-14.22
6.31,8.35,5.75,8.53,-0.85,9.91,0.17,4.39,-36.92,-37.68,-27.88
6.35,8.87,4.78,8.98,-1.65,9.94,0.41,6.27,-35.10,-34.44,-38.55
5.73,8.90,4.34,9.11,-1.85,10.02,0.75,7.52,-32.24,-33.08,-43.08
5.70,8.86,3.92,8.93,-2.51,9.18,0.70,11.28,-28.34,-35.26,-56.37
4.37,8.86,3.57,9.55,-0.88,10.27,1.57,1.25,-23.14,-23.37,-11.76
3.27,8.06,2.27,9.91,-2.02,10.09,1.27,-53.91,-17.42,-21.44,78.99
3.26,8.47,2.51,8.84,0.56,9.76,2.07,0.00,-10.40,-10.63,3.29
0.87,7.03,2.07,9.67,-0.28,10.11,2.12,-3.13,-4.16,-14.92,15.74
-0.35,8.16,-0.23,9.52,-1.47,9.78,2.07,48.89,2.08,-7.48,-79.01
-0.43,8.64,-0.92,9.30,1.12,10.24,1.93,3.13,7.54,12.79,-11.14
-3.40,8.13,-1.53,9.16,0.90,9.04,1.10,-10.03,12.48,10.68,50.41
-2.57,9.34,-1.83,9.31,0.59,10.04,1.26,-11.91,16.12,12.87,51.23
-3.17,9.77,-2.16,9.25,1.65,10.08,0.86,-11.28,18.46,20.48,52.07
-6.30,9.63,-2.70,9.68,1.89,9.80,0.33,-8.78,20.54,18.95,47.42
-4.18,9.61,-2.65,9.56,1.39,10.00,-0.21,-10.03,20.54,20.24,48.80
-5.33,9.50,-2.89,9.63,1.50,9.96,-0.80,-12.54,18.46,20.15,54.63
-3.96,9.09,-2.04,9.47,1.24,9.96,-1.18,-6.27,15.86,15.00,37.01
-1.55,9.81,-1.41,9.87,0.46,10.56,-1.54,-6.27,11.18,10.34,32.53
-1.54,8.81,-1.21,9.14,2.62,9.45,-1.27,-5.64,6.76,22.18,41.14
-1.08,8.85,0.27,9.43,-1.84,9.83,-2.02,-1.88,2.34,-15.16,0.26
