acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
05,7.78,6.03,7.91,-0.19,9.91,-0.01,-0.63,-38.48,-38.03,-4.29
6.39,7.79,5.77,7.60,-0.07,9.71,0.00,-0.63,-38.22,-36.75,3.27
5.36,7.69,5.37,7.66,-0.50,9.35,-0.39,0.63,-38.48,-38.09,-6.84
5.86,8.11,5.67,8.04,-0.50,9.91,0.33,4.39,-38.48,-37.83,-26.24
5.21,8.47,5.31,8.40,-1.16,9.95,-0.18,1.25,-38.48,-39.22,-13.64
3.90,9.34,3.56,9.45,-3.18,10.01,0.15,10.03,-38.48,-37.51,-52.84
2.07,9.90,2.52,10.03,-3.56,9.49,0.56,21.94,-38.48,-35.53,-69.60
5.68,8.22,4.74,8.08,-2.53,9.42,2.12,16.93,-38.22,-43.73,-64.16
5.66,7.88,5.20,7.02,-1.16,9.15,1.79,0.63,-38.48,-44.11,-11.02
6.44,7.75,6.66,7.87,1.15,10.40,2.19,-5.01,-38.48,-34.10,30.66
6.60,6.61,6.47,7.64,-1.40,9.32,1.55,0.63,-38.74,-47.25,-12.25
6.67,7.42,5.87,7.76,-0.15,9.87,1.99,-5.64,-38.22,-36.13,29.12
5.75,7.37,6.13,7.39,0.27,9.91,1.79,-4.39,-38.48,-38.67,25.18
7.03,7.88,7.50,7.76,-0.82,9.79,1.15,-1.25,-38.48,-49.61,2.54
6.09,7.22,5.85,7.23,-0.48,9.63,1.55,-3.13,-38.48,-41.36,15.40
5.71,7.25,5.71,7.20,1.52,9.52,1.46,-1.25,-38.22,-29.41,16.24
7.46,7.48,6.72,7.60,0.65,10.08,0.78,-1.88,-38.22,-36.43,14.12
6.70,7.65,6.44,7.48,0.47,10.04,1.19,-4.39,-38.48,-37.86,25.83
5.07,7.31,5.80,7.53,-0.13,9.99,1.08,-4.39,-38.48,-39.31,23.07
5.33,7.62,6.14,7.58,0.08,9.79,0.97,-5.64,-38.48,-39.92,30.31
6.39,7.64,6.13,7.66,0.12,9.79,0.33,0.63,-38.74,-37.55,-2.98
6.53,7.42,6.56,7.60,-0.08,9.67,0.75,-3.13,-38.48,-41.05,17.55
6.24,7.71,6.73,7.72,0.28,10.03,0.66,-6.27,-38.22,-40.28,33.11
5.94,7.52,6.28,7.59,0.47,9.84,0.56,-1.88,-38.22,-37.33,13.44
6.09,7.60,6.32,7.77,0.12,10.03,0.45,-4.39,-38.22,-38.58,24.19
6.16,7.60,6.37,7.55,0.35,9.83,0.34,-1.25,-38.74,-38.52,9.25
6.43,7.46,6.38,7.52,0.39,9.87,0.19,-3.76,-38.74,-37.91,22.78
6.58,7.76,6.33,7.66,0.00,9.87,0.06,-3.76,-38.48,-39.27,20.86
5.97,7.74,6.25,7.77,0.01,9.87,0.00,0.63,-38.74,-39.20,-3.60
5.90,6.96,6.93,6.98,1.35,9.88,-0.13,-5.64,-38.48,-38.50,35.29
7.00,6.80,7.27,6.81,1.69,9.88,-0.63,-13.16,-38.22,-37.56,56.36
6.28,7.68,6.09,7.95,-0.57,9.71,-1.13,-11.91,-38.74,-40.10,49.43
5.28,8.51,5.03,8.58,-1.11,10.15,-1.06,9.40,-38.74,-36.09,-46.00
4.83,8.24,5.70,8.23,-0.73,9.67,-0.79,5.01,-38.48,-40.52,-30.73
5.51,8.07,5.55,8.11,-0.65,9.99,-0.06,1.88,-38.22,-38.13,-14.24
