acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
5.78,7.93,5.78,7.98,-0.19,9.87,0.01,1.25,-37.70,-36.92,-8.31
-0.51,9.13,0.44,8.94,-0.44,9.31,-1.13,1.88,-7.80,-7.74,-13.98
-0.35,8.23,0.59,9.58,-0.16,9.47,-0.39,6.27,-10.92,-6.28,-34.16
-0.13,9.47,-0.13,9.67,-2.64,8.98,-0.61,7.52,-15.08,-15.62,-48.56
-0.58,9.61,0.50,9.69,-1.04,9.83,-0.05,11.91,-18.98,-11.34,-52.80
-0.50,8.98,2.10,9.65,-1.92,10.38,0.53,11.28,-24.70,-27.69,-51.83
-0.83,6.17,1.63,8.73,-1.93,8.58,0.54,-50.78,-31.72,-27.37,80.04
18.92,6.48,18.13,9.51,-1.04,9.67,1.36,3.13,-39.52,-65.34,-23.37
-1.42,6.83,3.14,8.00,0.53,9.43,1.49,2.51,-35.10,-26.63,-11.83
-1.31,8.14,2.91,8.19,-0.30,9.91,1.01,-55.16,-31.98,-30.35,79.76
-1.28,8.55,2.28,8.79,-1.46,9.30,1.80,0.00,-31.20,-30.99,-8.90
-1.43,7.80,3.14,9.32,1.67,10.48,1.86,3.13,-34.06,-17.04,-7.95
8.59,7.17,8.60,8.90,-0.67,11.03,1.44,0.00,-39.26,-45.51,-3.48
-0.52,7.67,4.25,6.84,-1.38,10.39,2.14,2.51,-36.92,-50.21,-20.53
-1.46,6.42,3.84,6.81,0.12,9.39,1.71,-4.39,-35.36,-39.10,25.65
0.37,6.54,5.24,6.76,1.34,10.60,2.14,-6.27,-37.70,-38.70,35.65
19.01,7.81,7.58,8.27,0.43,9.88,1.43,-6.90,-37.96,-19.06,36.56
-1.31,6.87,3.86,7.19,1.62,9.24,1.79,-1.88,-37.18,-28.38,20.72
7.15,7.59,8.86,7.43,0.45,9.72,1.54,-6.27,-38.74,-49.54,34.66
1.30,6.63,5.25,6.29,-1.09,9.22,0.73,-7.52,-37.70,-54.19,34.92
9.25,6.48,7.92,6.76,1.69,9.84,0.76,-14.42,-38.74,-37.48,58.58
3.31,6.56,6.46,6.70,1.39,9.60,0.28,-13.16,-37.96,-40.25,56.59
8.46,7.69,6.75,7.50,0.46,10.04,-0.18,-6.27,-38.22,-36.82,33.85
5.94,7.18,6.69,7.38,0.88,10.16,-0.39,-3.13,-38.48,-38.11,21.55
6.93,7.39,6.89,7.42,0.85,9.92,-0.76,-8.15,-37.96,-37.87,42.23
7.00,7.06,7.30,7.26,1.08,10.20,-0.69,-12.54,-37.96,-39.26,53.18
7.79,7.08,7.09,7.51,0.55,10.11,-1.86,-11.28,-38.22,-38.54,49.48
4.83,6.82,6.33,7.14,1.41,9.32,-2.18,-5.01,-38.22,-34.84,34.58
6.97,7.47,6.43,7.48,1.37,9.24,-1.87,-3.76,-38.22,-31.34,29.05
4.62,7.45,5.50,8.27,-0.09,10.07,-2.44,3.76,-38.22,-34.74,-20.95
5.18,7.17,6.29,7.55,-0.82,8.59,-1.82,-4.39,-38.48,-46.53,22.53
5.19,8.10,5.78,7.28,-0.28,9.17,-2.56,-2.51,-38.22,-42.48,13.65
5.69,7.82,6.24,7.88,-0.43,9.39,-1.82,8.78,-38.48,-41.80,-44.44
6.33,8.46,5.03,8.15,-0.87,10.35,-2.33,-1.25,-37.96,-34.32,2.14
4.61,7.60,6.64,7.93,-1.77,10.19,-1.85,-3.76,-38.48,-52.43,11.05
4.95,8.84,5.53,8.67,-1.27,10.55,-2.31,8.15,-38.22,-40.58,-41.76
6.06,8.04,5.17,7.88,-0.56,10.23,-1.42,6.27,-37.96,-34.95,-33.74
5.30,7.65,5.38,7.66,-0.22,9.07,-1.79,2.51,-38.22,-36.63,-16.75
4.61,8.23,5.69,8.34,0.33,9.92,-1.56,1.88,-38.22,-34.10,-8.90
6.17,8.12,5.81,8.43,-0.72,9.99,-0.87,1.88,-38.22,-37.79,-14.61
4.26,8.19,4.84,8.15,-1.06,9.87,-1.23,4.39,-38.22,-37.95,-28.90
4.51,8.39,5.77,8.83,-1.69,10.10,-0.95,5.64,-38.22,-44.27,-35.97
6.00,8.12,5.64,8.42,-0.73,10.07,-0.66,4.39,-38.22,-37.04,-26.97
5.33,7.73,6.13,7.84,-0.08,9.75,-0.50,1.88,-38.22,-39.68,-11.37
5.22,7.69,5.94,7.72,0.04,9.91,0.06,-3.13,-38.22,-38.47,17.77
5.90,7.82,5.95,8.21,-0.20,9.83,-0.58,-1.25,-38.22,-36.72,6.13
8.26,8.10,6.08,7.98,-0.31,9.91,-0.54,4.39,-38.22,-35.35,-25.36
4.31,8.30,5.13,8.36,-1.00,9.79,-0.44,1.25,-37.70,-38.80,-12.96
9.12,8.82,6.22,8.77,-1.23,9.91,-0.18,3.76,-37.18,-37.47,-26.74
8.70,8.29,6.19,8.36,-0.65,9.95,0.05,2.51,-34.84,-35.78,-17.60
9.11,7.96,5.63,8.68,-0.50,9.95,0.19,1.88,-30.16,-28.72,-13.43
5.15,7.69,3.95,8.53,-0.50,9.99,0.29,1.25,-23.66,-24.51,-9.95
1.25,7.79,2.41,9.03,-0.31,10.03,0.38,0.63,-16.90,-18.51,-5.36
0.38,8.33,1.16,9.53,0.45,9.87,0.43,1.88,-10.40,-5.64,-8.24
-0.35,8.83,0.34,9.54,-0.36,10.07,0.44,1.25,-4.94,-5.54,-9.12
-1.91,8.95,-0.93,9.67,-0.98,9.99,-0.04,1.88,0.26,-2.37,-16.00
-3.89,8.79,-2.32,9.13,-0.96,9.87,0.66,2.51,4.94,5.06,-19.38
-3.31,9.37,-2.47,9.53,-1.00,9.43,0.85,6.27,7.80,6.66,-37.62
-4.24,9.48,-2.66,9.20,-0.37,9.79,0.94,-3.13,9.62,10.69,15.77
-3.47,9.92,-3.77,9.37,-2.30,9.93,1.11,-1.25,10.92,9.90,-6.01
-1.43,9.07,-2.39,9.38,-0.73,9.86,0.88,7.52,12.22,11.92,-39.92
0.03,9.29,-2.91,8.26,-1.25,8.66,1.71,4.39,15.08,18.72,-33.06
-5.15,9.17,-3.83,9.22,-1.04,9.22,1.83,5.01,18.46,13.41,-33.30
-2.47,9.80,-2.87,9.30,0.51,10.28,1.35,-1.25,21.32,21.20,9.76
-4.16,8.34,-3.86,9.18,0.38,9.71,1.87,-5.64,24.70,23.81,31.81
-4.82,9.81,-3.33,9.73,6.66,9.63,1.19,-1.25,27.56,50.67,39.42
-6.87,9.65,-3.45,9.23,2.25,10.37,1.27,-8.78,29.12,25.80,46.77
-6.29,9.44,-3.66,9.49,2.27,9.93,0.64,-16.93,28.86,28.68,62.66
